image_id,filename,attractiveness_mean,bmi,identity_group,body_id,head_id,variant,label_sex,demographic_code,label_kind,image_sha256,width,height,timestamp,outcome,refusal,cause,pose_warning,sil_retry,routing,skin_frac,framing,person_frac,override,gate_band,gate_tilt,gate_yaw,skel_symmetry,model_raw,geom_bp_m,geom_cv_m,geom_bp_f,geom_cv_f,geom_cues,bp,bp_band,cv,cv_band,sex,sex_conf,sex_source,reliability,tier0_ffmi,tier0_bf,crosscheck
T080,T080.jpg,7.55,17.77,T080,T080,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6c25ab9f44d3649236503550be237dff5472ebaed1cc3fb26330844e046494ee,961,1783,,scored,,,,0,clothed→model,5%,full,0.962,,pass,0.0065,11.1,0.0121,42.634,56.30,67.37,74.98,77.60,whr+vTaper+shoulderHip+legTorso+symmetry,7.73,6.86–10.00,7.73,6.86–10.00,unknown,55%,unconfirmed,,,,
T070,T070.jpg,7.94,18.01,T070,T070,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,cdb58a76dc8d4defac0dcf338c02b563bc309bdb720989c737f4ad9a6e64dc4b,961,1783,,scored,,,,0,clothed→model,4%,full,0.964,,pass,0.0050,12.5,0.0130,37.886,56.02,67.17,75.66,77.13,whr+vTaper+shoulderHip+legTorso+symmetry,7.13,6.52–8.63,7.13,6.52–8.63,unknown,59%,unconfirmed,,,,
T060,T060.jpg,8.03,18.26,T060,T060,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6253ab703ce42750d89a3ce35c740fa9c719f736252f01186d50b4ea2a8ccf45,961,1783,,scored,,,,0,clothed→model,4%,full,0.963,,pass,0.0096,13.4,0.0115,37.777,57.14,67.88,73.42,76.35,whr+vTaper+shoulderHip+legTorso+symmetry,7.12,6.52–8.60,7.12,6.52–8.60,unknown,53%,unconfirmed,,,,
T050,T050.jpg,7.97,18.50,T050,T050,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,62af5c16c8e2fc0b3368eac17262a1eef9cfad5993d7c0b2eb81b65308eea057,961,1783,,scored,,,,0,clothed→model,4%,full,0.969,,pass,0.0070,9.4,0.0165,39.704,56.56,67.47,74.22,77.42,whr+vTaper+shoulderHip+legTorso+symmetry,7.40,6.69–10.00,7.40,6.69–10.00,unknown,59%,unconfirmed,,,,
T040,T040.jpg,8.29,18.77,T040,T040,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,5ac0432ba7fac4d94e3b524b52974f60ba1bae3bd32d9d8cab504efb6166b4b6,961,1783,,scored,,,,0,clothed→model,3%,full,0.971,,pass,0.0097,13.6,0.0098,39.748,56.91,67.69,73.50,76.55,whr+vTaper+shoulderHip+legTorso+symmetry,7.40,6.69–10.00,7.40,6.69–10.00,unknown,59%,unconfirmed,,,,
T030,T030.jpg,8.18,19.10,T030,T030,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3c3d0b50b6b81e8a2cae07961b98ea9f079b8310c047b5bfd76b5b7de3186743,961,1783,,scored,,,,0,clothed→model,4%,full,0.971,,pass,0.0048,10.5,0.0136,41.157,58.28,68.65,71.88,74.75,whr+vTaper+shoulderHip+legTorso+symmetry,7.47,6.73–10.00,7.47,6.73–10.00,unknown,55%,unconfirmed,,,,
T020,T020.jpg,8.23,19.30,T020,T020,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3a9e890b5cf3bfb373028cff33a26eb78cc35fe787ad466a623a015f72506028,961,1783,,scored,,,,0,clothed→model,3%,full,0.971,,pass,0.0112,5.5,0.0132,41.790,58.04,68.30,71.10,75.09,whr+vTaper+shoulderHip+legTorso+symmetry,7.55,6.77–10.00,7.55,6.77–10.00,unknown,54%,unconfirmed,,,,
T010,T010.jpg,8.11,19.61,T010,T010,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,52d3f11d364441f5e57d23f55b5ae6f1c24e8e0289d8a3513eaaf238a1c90d52,961,1783,,scored,,,,0,clothed→model,2%,full,0.969,,pass,0.0098,10.3,0.0128,39.001,58.27,68.41,70.60,74.51,whr+vTaper+shoulderHip+legTorso+symmetry,7.28,6.62–10.00,7.28,6.62–10.00,unknown,55%,unconfirmed,,,,
N000,N000.jpg,8.19,19.79,N000,N000,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,0e8f35cb9665640b1b8fbb6f584a58584832bb9b3fc8ec584d47ef0de3c12bd5,961,1783,,scored,,,,0,clothed→model,3%,full,0.971,,pass,0.0067,8.5,0.0314,41.090,58.89,68.87,70.57,73.71,whr+vTaper+shoulderHip+legTorso+symmetry,7.47,6.73–10.00,7.47,6.73–10.00,unknown,70%,unconfirmed,,,,
H010,H010.jpg,7.89,21.55,H010,H010,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,7afd888bfc55b1879b787776e80dc49a7e6da4266404318e55aa9f1dcae86e03,961,1783,,scored,,,,0,clothed→model,0%,full,0.971,,pass,0.0048,8.3,0.0238,39.873,54.99,66.19,74.94,79.11,whr+vTaper+shoulderHip+legTorso+symmetry,7.41,6.69–10.00,7.41,6.69–10.00,unknown,55%,unconfirmed,,,,
H020,H020.jpg,7.24,23.35,H020,H020,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,0f99717b7a9a9a00d50d9bc74086a71767b691cc8dbb41c599649b1a66d59fd1,961,1783,,scored,,,,0,clothed→model,0%,full,0.971,,pass,0.0092,6.4,0.0142,37.301,51.49,63.67,76.14,80.75,whr+vTaper+shoulderHip+legTorso+symmetry,7.10,6.51–8.49,7.10,6.51–8.49,unknown,63%,unconfirmed,,,,
H030,H030.jpg,6.57,25.37,H030,H030,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,50cc8926bbae834468473c8c1f8c6a28b7d93e210bb25820af0b1a6d05a36703,961,1783,,scored,,,,0,clothed→model,0%,full,0.969,,pass,0.0100,18.0,0.0185,37.279,48.87,61.88,78.85,82.10,whr+vTaper+shoulderHip+legTorso+symmetry,7.10,6.50–8.48,7.10,6.50–8.48,unknown,54%,unconfirmed,,,,
H040,H040.jpg,5.93,27.37,H040,H040,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fb4449f89a672d7ac658311e97b97fc1f8581da245628b1ba5281b477e9dcdc1,961,1783,,scored,,,,0,clothed→model,0%,full,0.972,,pass,0.0182,10.5,0.0183,37.614,46.02,59.36,75.25,76.88,whr+vTaper+shoulderHip+legTorso+symmetry,7.11,6.51–8.56,7.11,6.51–8.56,unknown,66%,unconfirmed,,,,
H050,H050.jpg,5.50,29.57,H050,H050,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,da923a445d40ce604cb24827e4dc7cdd27fa635deabf423d463db12eaa177806,961,1783,,scored,,,,0,clothed→model,0%,full,0.972,,pass,0.0074,11.9,0.0072,39.323,44.40,58.31,74.58,75.28,whr+vTaper+shoulderHip+legTorso+symmetry,7.38,6.68–10.00,7.38,6.68–10.00,unknown,67%,unconfirmed,,,,
H060,H060.jpg,4.86,31.84,H060,H060,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6dcd41a4ab3ac70efbd6590d292fd9aba501d7ed9820129b48689a4200b46803,961,1783,,scored,,,,0,clothed→model,0%,full,0.975,,pass,0.0122,2.4,0.0186,37.594,41.25,55.12,67.70,65.84,whr+vTaper+shoulderHip+legTorso+symmetry,7.11,6.51–8.56,7.11,6.51–8.56,unknown,64%,unconfirmed,"an arm is by your waist, which can widen the silhouette — stand with arms slightly out",,,
H070,H070.jpg,4.53,34.13,H070,H070,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fc1e84ca7c2b2cd2e44437173b9a22680c6dc6ea51591f1aa411e7a1be569450,961,1783,,scored,,,,0,clothed→model,0%,full,0.979,,pass,0.0036,8.3,0.0148,38.765,39.59,56.40,48.28,63.34,whr+vTaper+shoulderHip+legTorso+symmetry,7.24,6.60–10.00,7.24,6.60–10.00,unknown,63%,unconfirmed,"an arm is by your waist, which can widen the silhouette — stand with arms slightly out",,,
H080,H080.jpg,4.29,36.58,H080,H080,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,947ed9b80b6221ac1d84aac54ca70ceb780e39f934e7686b40e1c26c6162b45b,961,1783,,scored,,,,0,clothed→model,0%,full,0.973,,pass,0.0101,0.9,0.0126,36.700,37.43,53.94,41.87,55.55,whr+vTaper+shoulderHip+legTorso+symmetry,7.07,6.49–8.36,7.07,6.49–8.36,unknown,67%,unconfirmed,,,,
H090,H090.jpg,3.72,39.10,H090,H090,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,d1a877343d29107b4c2c71399d8335576f05135f23e62862c2b30cabe2c4d549,961,1783,,scored,,,,0,clothed→model,0%,full,0.977,,pass,0.0208,8.1,0.0162,39.429,38.07,55.88,39.17,55.47,whr+vTaper+shoulderHip+legTorso+symmetry,7.38,6.68–10.00,7.38,6.68–10.00,unknown,64%,unconfirmed,,,,
H100,H100.jpg,3.46,41.76,H100,H100,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,466323de478894f722dcffc19ad4ea257246903164d0bc2df2aa48131806f4c5,961,1783,,scored,,,,0,clothed→model,0%,full,0.974,,pass,0.0139,9.2,0.0150,38.876,36.36,53.60,37.81,54.53,whr+vTaper+shoulderHip+legTorso+symmetry,7.26,6.61–10.00,7.26,6.61–10.00,unknown,63%,unconfirmed,,,,
H110,H110.jpg,3.22,44.55,H110,H110,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,912e62f34dda5e143e3603e332e77c7cb6038dcba66d12efa274d1a0001a5e18,961,1783,,scored,,,,0,clothed→model,0%,full,0.970,,pass,0.0109,15.2,0.0076,38.849,29.55,42.59,21.05,26.87,whr+vTaper+shoulderHip+legTorso+symmetry,7.25,6.60–10.00,7.25,6.60–10.00,unknown,62%,unconfirmed,,,,
H120,H120.jpg,2.97,47.37,H120,H120,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,aaa5dc3f64691ddc84500697ae6a14b3d57053078e230b550340c550fb76eb04,961,1783,,scored,,,,0,clothed→model,0%,full,0.973,,pass,0.0153,8.6,0.0163,38.621,28.36,40.38,20.84,26.41,whr+vTaper+shoulderHip+legTorso+symmetry,7.22,6.58–10.00,7.22,6.58–10.00,unknown,66%,unconfirmed,"an arm is by your waist, which can widen the silhouette — stand with arms slightly out",,,
H130,H130.jpg,2.93,50.23,H130,H130,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,87521bc6821e96f3d17914f073a548c9d1e170a3ca1fb99d71981a5436e1a782,961,1783,,scored,,,,0,clothed→model,0%,full,0.974,,pass,0.0039,2.6,0.0101,37.665,27.78,39.41,20.79,26.30,whr+vTaper+shoulderHip+legTorso+symmetry,7.12,6.52–8.57,7.12,6.52–8.57,unknown,62%,unconfirmed,"an arm is by your waist, which can widen the silhouette — stand with arms slightly out",,,
H140,H140.jpg,2.64,53.21,H140,H140,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b531b54115377b0df48d35d4707f4702bebc96186dd323cdae451e0c11cf5cd2,961,1783,,scored,,,,0,clothed→model,0%,full,0.972,,pass,0.0022,2.6,0.0143,39.572,28.10,39.91,20.86,26.42,whr+vTaper+shoulderHip+legTorso+symmetry,7.39,6.69–10.00,7.39,6.69–10.00,unknown,67%,unconfirmed,,,,
H150,H150.jpg,2.51,56.26,H150,H150,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,cf68220b2b8ee35872ce0080db14a71da543473829bb4ae0929896985fe28a93,961,1783,,scored,,,,0,clothed→model,0%,full,0.981,,pass,0.0127,1.7,0.0107,39.476,27.65,39.08,20.95,26.46,whr+vTaper+shoulderHip+legTorso+symmetry,7.39,6.68–10.00,7.39,6.68–10.00,unknown,53%,unconfirmed,,,,
H160,H160.jpg,2.30,59.31,H160,H160,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,9bbfa2eee3d89dcfba87828868471431a32dcc9ba4af07f1692ab59e7b610a4d,961,1783,,scored,,,,0,clothed→model,0%,full,0.974,,pass,0.0121,1.8,0.0123,39.751,27.02,38.09,20.81,26.14,whr+vTaper+shoulderHip+legTorso+symmetry,7.40,6.69–10.00,7.40,6.69–10.00,unknown,52%,unconfirmed,,,,
H170,H170.jpg,2.08,62.64,H170,H170,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b5d07b747f9eada1cb10fda6fa23d18d0a4302118c52526763e66165ff72dbf1,961,1783,,scored,,,,0,clothed→model,0%,full,0.981,,pass,0.0181,5.5,0.0320,39.400,26.53,37.20,20.81,25.85,whr+vTaper+shoulderHip+legTorso+symmetry,7.38,6.68–10.00,7.38,6.68–10.00,f,,guess,,,,
H180,H180.jpg,2.08,66.04,H180,H180,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,1a7f10bee91e9e80f075750b1282d931dcc63fc6b320f7a7d3176e49287bd461,961,1783,,scored,,,,0,clothed→model,0%,full,0.964,,pass,0.0346,1.8,0.0241,38.965,26.57,37.26,21.00,26.02,whr+vTaper+shoulderHip+legTorso+symmetry,7.27,6.62–10.00,7.27,6.62–10.00,f,,guess,,,,
H190,H190.jpg,1.76,69.56,H190,H190,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,d51e2b4ddf3c301077da04e5e4f6a4bb0b58530b5bcff1427f13779b1980ecd4,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,,,profile,,,,,,,,,,,,,,,,,,,,
H200,H200.jpg,1.80,73.30,H200,H200,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,7cd201d597a1a76d185d9848ceff4d2e41019066558601170786e06244b19fca,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,,,profile,,,,,,,,,,,,,,,,,,,,
H210,H210.jpg,1.68,76.95,H210,H210,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,90a76e34fc67c20620d9e28a53037e6ab5ccba2c499c7ab0d5183802eeef7ca1,961,1783,,scored,,waist-occluded,,0,clothed→model,0%,full,0.956,,pass,0.1191,2.1,0.1245,37.838,14.42,21.13,18.13,23.55,shoulderHip+legTorso+symmetry,7.12,6.52–8.62,7.12,6.52–8.62,unknown,70%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,
H220,H220.jpg,1.55,80.98,H220,H220,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,a5a10d9b4c7d6be6180b5e6312cc6ae967e33757679d88c2071a6b9d455f506e,961,1783,,scored,,waist-occluded,,0,clothed→model,0%,full,0.943,,pass,0.0456,21.9,0.0612,39.125,32.33,43.68,33.78,44.63,shoulderHip+legTorso+symmetry,7.31,6.64–10.00,7.31,6.64–10.00,f,95%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,
H230,H230.jpg,1.48,85.49,H230,H230,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,372560b4e33d049f88869545ad117a26ddc457dc1184087ad3f211072d9b092f,961,1783,,scored,,waist-occluded,,0,clothed→model,0%,full,0.941,,pass,0.0210,11.1,0.0358,36.801,85.02,79.54,85.02,79.54,legTorso+symmetry,7.08,6.49–8.39,7.08,6.49–8.39,unknown,52%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,
H240,H240.jpg,1.51,89.89,H240,H240,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,c4f1d0aac4489afdcc3b998510d5fa4bde48779fe636385c87ddf74ceb9d1760,961,1783,,scored,,waist-occluded,,0,clothed→model,0%,full,0.852,,pass,0.0449,6.2,0.0677,37.289,84.25,78.30,84.25,78.30,legTorso+symmetry,7.10,6.50–8.49,7.10,6.50–8.49,unknown,67%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,
H250,H250.jpg,1.37,94.40,H250,H250,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,eb88153400e18869335c4a19cb8cb097929aff9125654086aa95f6be490b2b1d,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,,,profile,,,,,,,,,,,,,,,,,,,,
