image_id,filename,image_sha256,source_image_id,source_filename,transform,transform_family,label_quartile,baseline_outcome,attractiveness_mean,identity_group,width,height,timestamp,outcome,refusal,cause,pose_warning,sil_retry,routing,attempted_route,final_route,model_scheduled,skin_frac,framing,person_frac,override,crop_side_px,crop_padding_fraction,crop_outside,gate_band,gate_tilt,gate_yaw,skel_symmetry,model_raw,geom_bp_m,geom_cv_m,geom_bp_f,geom_cv_f,geom_cues,public_score,bp,bp_continuous,bp_band,cv,cv_continuous,cv_band,sex,sex_conf,sex_source,reliability,tier0_ffmi,tier0_bf,crosscheck,storage_invariant
T290__brightness_130,T290__brightness_130.jpg,0e2f41897555a2ea8443be1f68faa431aa4c73b3f8971341706d29c6f6db1d39,T290,T290.jpg,brightness_130,lighting,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.912,,1870.7301,0.51979921,true,pass,0.0282,6.3,0.0259,43.752,50.14,63.39,80.04,77.07,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.88,6.92–10.00,8.00,7.88,6.92–10.00,unknown,65%,unconfirmed,,,,,true
T290__contrast_70,T290__contrast_70.jpg,c2dedf26e312b7a913e7117c83b0adbea0ccd2b71dab19c70aa46e99eba10cf3,T290,T290.jpg,contrast_70,lighting,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.929,,1904.5811,0.52833404,true,pass,0.0235,18.4,0.0157,44.640,49.02,61.99,79.58,76.88,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.99,6.96–10.00,8.00,7.99,6.96–10.00,f,,guess,,,,,true
T290__contrast_130,T290__contrast_130.jpg,7caaefe793996e811bcfa6b3f440eec090d1498781675879372b43f2ed0a86b5,T290,T290.jpg,contrast_130,lighting,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.898,,1841.4735,0.51216996,true,pass,0.0182,7.6,0.0226,41.607,48.61,62.03,78.95,76.78,whr+vTaper+shoulderHip+legTorso+symmetry,7.50,7.50,7.53,6.76–10.00,7.50,7.53,6.76–10.00,unknown,55%,unconfirmed,,,,,true
T290__side_lighting,T290__side_lighting.jpg,1feabd395a2bf0736f0bb15e06a90f3d5435dd1ee93c5e4e27fdcb5bc96942fc,T290,T290.jpg,side_lighting,lighting,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.922,,1891.3563,0.52503605,true,pass,0.0199,15.2,0.0150,43.204,48.77,61.70,79.33,76.59,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.82,6.90–10.00,8.00,7.82,6.90–10.00,f,,guess,,,,,true
T290__jpeg_q35,T290__jpeg_q35.jpg,d61ba75e42b8c35adbad01189ede3a3a5cc58a4e1bac3ce40e10b704b4eedab3,T290,T290.jpg,jpeg_q35,jpeg,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.926,,1899.6881,0.52711916,true,pass,0.0190,0.7,0.0192,44.237,48.53,61.82,79.00,76.65,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.94,6.95–10.00,8.00,7.94,6.95–10.00,unknown,56%,unconfirmed,,,,,true
T290__rotate_3,T290__rotate_3.jpg,feda15d850f6bc6547f0368433d9eccaf491455f92e73f69d2d6b405c65b967b,T290,T290.jpg,rotate_3,rotation_camera_like,1,scored,1.51,T290,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
T290__perspective_mild,T290__perspective_mild.jpg,ea6b185ce6a5712ed20dc06663715890bc94757dfda7d13fa8a88c3f5061d1a8,T290,T290.jpg,perspective_mild,rotation_camera_like,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.936,,1919.3816,0.53489388,true,pass,0.0212,13.5,0.0218,43.264,47.85,60.75,78.38,75.56,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.83,6.90–10.00,8.00,7.83,6.90–10.00,f,,guess,,,,,true
T290__gaussian_blur_1_5,T290__gaussian_blur_1_5.jpg,f09273451fd0bc065836dbb7b5acb0b949bd5d5895ba5813b42b35ce1480089f,T290,T290.jpg,gaussian_blur_1_5,rotation_camera_like,1,scored,1.51,T290,961,1783,,scored,,,,0,clothed→model,model,model,true,9%,full,0.931,,1908.2967,0.52947478,true,pass,0.0181,2.5,0.0503,42.869,48.71,61.61,78.07,74.40,whr+vTaper+shoulderHip+legTorso+symmetry,8.00,8.00,7.77,6.88–10.00,8.00,7.77,6.88–10.00,f,,guess,,,,,true
H260__original,H260__original.jpg,ee27b45c30697a218c7bcaedc76ee50c2fd71cf2d2e830d585602c396250698f,H260,H260.jpg,original,control,1,refused,1.27,H260,961,1783,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__mirror,H260__mirror.jpg,391f9cb3182cdbf7f80b6817ad64f59ca61f8c09b84a84b323c04edb996b70e9,H260,H260.jpg,mirror,mirror,1,refused,1.27,H260,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H260__crop_center_10,H260__crop_center_10.jpg,ada5088e099bade0c0dfbde7fbd856010f785bb64abe06e0e5204db7a508261d,H260,H260.jpg,crop_center_10,crop,1,refused,1.27,H260,769,1427,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__crop_legs_20,H260__crop_legs_20.jpg,86ee149e699e846202a85d665de3b1ce2f9a5e4bbe0e6de838d3794c79927090,H260,H260.jpg,crop_legs_20,crop,1,refused,1.27,H260,961,1426,,scored,,,,0,clothed→geometry,geometry,geometry,false,0%,torso,0.863,framing,1415.7737,0.36548752,true,degraded,0.1423,39.1,,,10.02,16.99,6.34,4.57,whr+vTaper+shoulderHip,3.50,3.50,3.56,1.00–5.44,3.50,3.56,1.00–5.44,m,80%,model,non-standard framing: the photo is cropped above the feet — the score scale was calibrated on full-body shots — scored anyway at reduced accuracy,,,,true
H260__pad_wide_black,H260__pad_wide_black.jpg,9772f0f5e266e499f43031a0674d3de235f29d01ad1ec3bfcc5274b49126ca10,H260,H260.jpg,pad_wide_black,padding_aspect,1,refused,1.27,H260,1345,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.939,,1924.5322,0.35252458,true,pass,0.1332,14.1,0.0816,35.620,27.32,37.47,27.60,37.65,shoulderHip+legTorso+symmetry,7.00,7.00,6.95,6.40–7.96,7.00,6.95,6.40–7.96,f,100%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H260__pad_tall_black,H260__pad_tall_black.jpg,f5885efee0a13e706658c83e4c4070b1e03023dbe2937d0b478a4cd9d34c422c,H260,H260.jpg,pad_tall_black,padding_aspect,1,refused,1.27,H260,961,2318,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.713,,1901.7447,0.49467455,true,pass,0.0209,18.4,0.0355,34.360,85.28,79.77,85.28,79.77,legTorso+symmetry,7.00,7.00,6.85,6.32–7.70,7.00,6.85,6.32–7.70,f,94%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H260__canvas_light_gray,H260__canvas_light_gray.jpg,461986d984c8051cb072be033a1f6a2970e8639d10554ce9eaa2b562a454de2c,H260,H260.jpg,canvas_light_gray,background_canvas,1,refused,1.27,H260,1201,2229,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H260__aspect_squeeze_80,H260__aspect_squeeze_80.jpg,59e9138a40d168c974cb907f9f950637ede1afdbe49bfdb1bea26ded67984b23,H260,H260.jpg,aspect_squeeze_80,padding_aspect,1,refused,1.27,H260,769,1783,,scored,,,,0,clothed→geometry,geometry,geometry,false,0%,torso,0.977,framing,2004.1800,0.65864660,true,degraded,0.0270,2.6,,,3.05,3.05,5.31,5.31,vTaper,3.00,3.00,2.94,1.00–5.27,3.00,2.94,1.00–5.27,f,97%,model,"non-standard framing: the photo is cropped above the feet — the score scale was calibrated on full-body shots — scored anyway at reduced accuracy · an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H260__resolution_256,H260__resolution_256.jpg,43217f94527e08facb6dbf6940f57d90ad35d217482741c2858235636c6e9a1d,H260,H260.jpg,resolution_256,resolution,1,refused,1.27,H260,138,256,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H260__brightness_70,H260__brightness_70.jpg,f9be1158953a75460dd06ad5d938b1346654839b462be288267322a2c9b954f7,H260,H260.jpg,brightness_70,lighting,1,refused,1.27,H260,961,1783,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__brightness_130,H260__brightness_130.jpg,c7be9d7d22e76982687239473dd0f3d694bbf732181cb41846eb030e95daddc2,H260,H260.jpg,brightness_130,lighting,1,refused,1.27,H260,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H260__contrast_70,H260__contrast_70.jpg,edb0cab89767279cc3c09df2ce4f5ea1d03c16337e35a70de7394df4855f8b54,H260,H260.jpg,contrast_70,lighting,1,refused,1.27,H260,961,1783,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__contrast_130,H260__contrast_130.jpg,c4e960820624cd35cdb02cbe7bbefbf4f860de5159d111ffcd6fd0d852856900,H260,H260.jpg,contrast_130,lighting,1,refused,1.27,H260,961,1783,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__side_lighting,H260__side_lighting.jpg,012d0508c1009433a19a518960ae37b907e238a36dcfe2b2c244e82c189d6425,H260,H260.jpg,side_lighting,lighting,1,refused,1.27,H260,961,1783,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H260__jpeg_q35,H260__jpeg_q35.jpg,0f7a8f23af756c501769773f7fe2525bdd1bbba5e53a374ab6dd7c48d06670d2,H260,H260.jpg,jpeg_q35,jpeg,1,refused,1.27,H260,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.911,,1868.2399,0.50908142,true,pass,0.0462,23.4,0.1021,38.787,69.64,65.48,69.64,65.48,legTorso+symmetry,7.00,7.00,7.24,6.60–10.00,7.00,7.24,6.60–10.00,unknown,53%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H260__rotate_3,H260__rotate_3.jpg,f7958398bb89eeca5dcbd1b125cd98360ad77f0cbdfa08abc3b30507f68c221a,H260,H260.jpg,rotate_3,rotation_camera_like,1,refused,1.27,H260,961,1783,,scored,,,,0,clothed→model,model,model,true,0%,full,0.865,,1774.3668,0.47836407,true,pass,0.0173,24.4,0.1125,35.372,28.94,39.45,30.31,40.37,vTaper+legTorso+symmetry,7.00,7.00,6.93,6.39–7.90,7.00,6.93,6.39–7.90,unknown,60%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H260__perspective_mild,H260__perspective_mild.jpg,98c295474cceec874feb6ad2fc385105247dc6b9bacf61d0c1a377cc3c639254,H260,H260.jpg,perspective_mild,rotation_camera_like,1,refused,1.27,H260,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H260__gaussian_blur_1_5,H260__gaussian_blur_1_5.jpg,df80399a53f91221997962093b44fe2f4f4cf35821080f93b72788bce6c0aab1,H260,H260.jpg,gaussian_blur_1_5,rotation_camera_like,1,refused,1.27,H260,961,1783,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H230__original,H230__original.jpg,372560b4e33d049f88869545ad117a26ddc457dc1184087ad3f211072d9b092f,H230,H230.jpg,original,control,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.941,,1929.2555,0.53964249,true,pass,0.0210,11.1,0.0358,36.801,85.02,79.54,85.02,79.54,legTorso+symmetry,7.00,7.00,7.08,6.49–8.39,7.00,7.08,6.49–8.39,unknown,52%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__mirror,H230__mirror.jpg,da61e42fd496558200fcc52433b359d6fc146e66820b9b7d393fe299f58798b1,H230,H230.jpg,mirror,mirror,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.945,,1938.4788,0.54401284,true,pass,0.0410,2.2,0.0391,38.559,84.60,79.13,84.60,79.13,legTorso+symmetry,7.00,7.00,7.20,6.57–9.49,7.00,7.20,6.57–9.49,f,97%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__crop_center_10,H230__crop_center_10.jpg,ac1467ace68f0acc042a692074928dbd97d569402efd6c41c2339ba0c338c83e,H230,H230.jpg,crop_center_10,crop,1,scored,1.48,H230,769,1427,,refused,"No body found — use a clear, full-body, front-facing photo.",no-body,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
H230__crop_legs_20,H230__crop_legs_20.jpg,a8552ff049a5b49071bc626c6de170f350c01846357bbdf3bcb092669462420a,H230,H230.jpg,crop_legs_20,crop,1,scored,1.48,H230,961,1426,,scored,,,,0,clothed→geometry,geometry,geometry,false,0%,torso,0.886,framing,1453.1377,0.38180249,true,degraded,0.0375,29.1,,,3.62,3.62,6.45,6.45,vTaper,3.00,3.00,2.99,1.00–5.28,3.00,2.99,1.00–5.28,f,,guess,"non-standard framing: the photo is cropped above the feet — the score scale was calibrated on full-body shots — scored anyway at reduced accuracy · an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__pad_wide_black,H230__pad_wide_black.jpg,e52534af6a47ff2481bc420eaa52b9e8cd5095ebec7995a92e68bff62c524761,H230,H230.jpg,pad_wide_black,padding_aspect,1,scored,1.48,H230,1345,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.949,,1946.3051,0.36692989,true,pass,0.0277,10.8,0.0252,36.061,38.34,51.46,38.81,51.76,shoulderHip+legTorso+symmetry,7.00,7.00,7.00,6.44–8.10,7.00,7.00,6.44–8.10,f,,guess,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__pad_tall_black,H230__pad_tall_black.jpg,6748ef8a4a8bc10ee553e2a45d4d19379aab6737ba8a79f91840f855ee7add58,H230,H230.jpg,pad_tall_black,padding_aspect,1,scored,1.48,H230,961,2318,,refused,This body is too side-on for frontal width ratios. Use a front-facing photo.,pose-quality:profile,This body is too side-on for frontal width ratios. Use a front-facing photo.,0,,,,false,,,,,,,,profile,,,,,,,,,,,,,,,,,,,,,,,,true
H230__canvas_light_gray,H230__canvas_light_gray.jpg,b3916a47563510d76bc8ddcfd328912cd6450d74a52dde09925ebacf1fe70847,H230,H230.jpg,canvas_light_gray,background_canvas,1,scored,1.48,H230,1201,2229,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.730,,1871.5433,0.35828360,true,pass,0.0592,12.7,0.0471,36.761,80.12,75.25,80.12,75.25,legTorso+symmetry,7.00,7.00,7.08,6.49–8.38,7.00,7.08,6.49–8.38,unknown,65%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__aspect_squeeze_80,H230__aspect_squeeze_80.jpg,c378a2c62d951f797a3addaf6a1ab7f857ce19a05446dc95d9cb20fd0c0b12e4,H230,H230.jpg,aspect_squeeze_80,padding_aspect,1,scored,1.48,H230,769,1783,,scored,,,,0,clothed→model,model,model,true,0%,full,0.972,,1992.8040,0.65473821,true,pass,0.0047,9.6,0.0216,35.867,36.09,49.42,37.47,50.33,vTaper+legTorso+symmetry,7.00,7.00,6.98,6.42–8.03,7.00,6.98,6.42–8.03,f,,guess,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__resolution_256,H230__resolution_256.jpg,8d981d730e247c1b950758af5effa2ebfe7710b4ef6b33b635cd03a80869abcb,H230,H230.jpg,resolution_256,resolution,1,scored,1.48,H230,138,256,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.865,,254.7652,0.47024644,true,pass,0.1254,22.4,0.1117,40.107,77.09,71.51,77.09,71.51,legTorso+symmetry,7.50,7.50,7.42,6.70–10.00,7.50,7.42,6.70–10.00,unknown,,unknown,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__brightness_70,H230__brightness_70.jpg,abab31d6c9eb21e202d7072c09d334d5182b3451118b476e0ed8cce9376970af,H230,H230.jpg,brightness_70,lighting,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.925,,1897.3588,0.52403412,true,pass,0.0189,18.2,0.0547,40.935,37.54,50.13,38.02,50.45,shoulderHip+legTorso+symmetry,7.50,7.50,7.46,6.72–10.00,7.50,7.46,6.72–10.00,unknown,60%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__brightness_130,H230__brightness_130.jpg,d9d9b6ccc8a7bb67df868f4e38bdeec8be91d1b0bb25bb5771424791677453a5,H230,H230.jpg,brightness_130,lighting,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.939,,1925.1493,0.53767660,true,pass,0.0252,11.1,0.0499,38.706,84.63,78.95,84.63,78.95,legTorso+symmetry,7.00,7.00,7.23,6.59–10.00,7.00,7.23,6.59–10.00,unknown,71%,unconfirmed,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__contrast_70,H230__contrast_70.jpg,8ceb4a21836ffa32f212dd99bcf428afdca8fa4eb4af5d6bb089f62807ca6ea5,H230,H230.jpg,contrast_70,lighting,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.913,,1871.3207,0.51069653,true,pass,0.0138,31.5,0.0692,39.222,36.49,48.69,36.97,49.01,shoulderHip+legTorso+symmetry,7.50,7.50,7.35,6.66–10.00,7.50,7.35,6.66–10.00,f,88%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__contrast_130,H230__contrast_130.jpg,6556a884792d41ba19b4a62fd4cbe20737a3a2dad91a283685d75ee24e63a731,H230,H230.jpg,contrast_130,lighting,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.944,,1936.6082,0.54313150,true,pass,0.0232,6.1,0.0485,38.147,38.14,50.89,39.11,51.53,shoulderHip+legTorso+symmetry,7.00,7.00,7.14,6.53–8.71,7.00,7.14,6.53–8.71,f,92%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__side_lighting,H230__side_lighting.jpg,748fa561ec6ce54c8e3751ee00827dc3029bcfc333b9aaf1f40ddaa2b3d76ba6,H230,H230.jpg,side_lighting,lighting,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.936,,1918.4288,0.53443174,true,pass,0.0546,10.8,0.0334,38.097,83.44,78.28,83.44,78.28,legTorso+symmetry,7.00,7.00,7.14,6.53–8.69,7.00,7.14,6.53–8.69,f,98%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__jpeg_q35,H230__jpeg_q35.jpg,1460659231f2ab791ac47bba83d603c1438294a29644230d4fd7d9d8430b1377,H230,H230.jpg,jpeg_q35,jpeg,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.892,,1828.5780,0.49760084,true,pass,0.0387,25.9,0.0827,39.410,30.26,40.91,31.88,41.96,shoulderHip+legTorso+symmetry,7.50,7.50,7.38,6.68–10.00,7.50,7.38,6.68–10.00,f,83%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
H230__rotate_3,H230__rotate_3.jpg,bf9ceb36bc21d7727192477e8f7b2d104d159bd682b943e641b1891806928d8a,H230,H230.jpg,rotate_3,rotation_camera_like,1,scored,1.48,H230,961,1783,,scored,,waist-occluded,,0,clothed→model,model,model,true,0%,full,0.880,,1804.7030,0.47947797,true,pass,0.0302,25.1,0.0420,39.615,78.72,74.18,78.72,74.18,legTorso+symmetry,7.50,7.50,7.39,6.69–10.00,7.50,7.39,6.69–10.00,f,88%,model,"an arm covered part of your waist or hips, so that cue was skipped — arms a few inches out reads the full frame",,,,true
