image_id,filename,image_sha256,source_image_id,source_filename,transform,transform_family,label_quartile,baseline_outcome,attractiveness_mean,identity_group,width,height
T290__rotate_3,T290__rotate_3.jpg,feda15d850f6bc6547f0368433d9eccaf491455f92e73f69d2d6b405c65b967b,T290,T290.jpg,rotate_3,rotation_camera_like,1,scored,1.51,T290,961,1783
T290__perspective_mild,T290__perspective_mild.jpg,ea6b185ce6a5712ed20dc06663715890bc94757dfda7d13fa8a88c3f5061d1a8,T290,T290.jpg,perspective_mild,rotation_camera_like,1,scored,1.51,T290,961,1783
T290__gaussian_blur_1_5,T290__gaussian_blur_1_5.jpg,f09273451fd0bc065836dbb7b5acb0b949bd5d5895ba5813b42b35ce1480089f,T290,T290.jpg,gaussian_blur_1_5,rotation_camera_like,1,scored,1.51,T290,961,1783
H260__original,H260__original.jpg,ee27b45c30697a218c7bcaedc76ee50c2fd71cf2d2e830d585602c396250698f,H260,H260.jpg,original,control,1,refused,1.27,H260,961,1783
H260__mirror,H260__mirror.jpg,391f9cb3182cdbf7f80b6817ad64f59ca61f8c09b84a84b323c04edb996b70e9,H260,H260.jpg,mirror,mirror,1,refused,1.27,H260,961,1783
H260__crop_center_10,H260__crop_center_10.jpg,ada5088e099bade0c0dfbde7fbd856010f785bb64abe06e0e5204db7a508261d,H260,H260.jpg,crop_center_10,crop,1,refused,1.27,H260,769,1427
H260__crop_legs_20,H260__crop_legs_20.jpg,86ee149e699e846202a85d665de3b1ce2f9a5e4bbe0e6de838d3794c79927090,H260,H260.jpg,crop_legs_20,crop,1,refused,1.27,H260,961,1426
H260__pad_wide_black,H260__pad_wide_black.jpg,9772f0f5e266e499f43031a0674d3de235f29d01ad1ec3bfcc5274b49126ca10,H260,H260.jpg,pad_wide_black,padding_aspect,1,refused,1.27,H260,1345,1783
H260__pad_tall_black,H260__pad_tall_black.jpg,f5885efee0a13e706658c83e4c4070b1e03023dbe2937d0b478a4cd9d34c422c,H260,H260.jpg,pad_tall_black,padding_aspect,1,refused,1.27,H260,961,2318
H260__canvas_light_gray,H260__canvas_light_gray.jpg,461986d984c8051cb072be033a1f6a2970e8639d10554ce9eaa2b562a454de2c,H260,H260.jpg,canvas_light_gray,background_canvas,1,refused,1.27,H260,1201,2229
H260__aspect_squeeze_80,H260__aspect_squeeze_80.jpg,59e9138a40d168c974cb907f9f950637ede1afdbe49bfdb1bea26ded67984b23,H260,H260.jpg,aspect_squeeze_80,padding_aspect,1,refused,1.27,H260,769,1783
H260__resolution_256,H260__resolution_256.jpg,43217f94527e08facb6dbf6940f57d90ad35d217482741c2858235636c6e9a1d,H260,H260.jpg,resolution_256,resolution,1,refused,1.27,H260,138,256
H260__brightness_70,H260__brightness_70.jpg,f9be1158953a75460dd06ad5d938b1346654839b462be288267322a2c9b954f7,H260,H260.jpg,brightness_70,lighting,1,refused,1.27,H260,961,1783
H260__brightness_130,H260__brightness_130.jpg,c7be9d7d22e76982687239473dd0f3d694bbf732181cb41846eb030e95daddc2,H260,H260.jpg,brightness_130,lighting,1,refused,1.27,H260,961,1783
H260__contrast_70,H260__contrast_70.jpg,edb0cab89767279cc3c09df2ce4f5ea1d03c16337e35a70de7394df4855f8b54,H260,H260.jpg,contrast_70,lighting,1,refused,1.27,H260,961,1783
H260__contrast_130,H260__contrast_130.jpg,c4e960820624cd35cdb02cbe7bbefbf4f860de5159d111ffcd6fd0d852856900,H260,H260.jpg,contrast_130,lighting,1,refused,1.27,H260,961,1783
H260__side_lighting,H260__side_lighting.jpg,012d0508c1009433a19a518960ae37b907e238a36dcfe2b2c244e82c189d6425,H260,H260.jpg,side_lighting,lighting,1,refused,1.27,H260,961,1783
H260__jpeg_q35,H260__jpeg_q35.jpg,0f7a8f23af756c501769773f7fe2525bdd1bbba5e53a374ab6dd7c48d06670d2,H260,H260.jpg,jpeg_q35,jpeg,1,refused,1.27,H260,961,1783
H260__rotate_3,H260__rotate_3.jpg,f7958398bb89eeca5dcbd1b125cd98360ad77f0cbdfa08abc3b30507f68c221a,H260,H260.jpg,rotate_3,rotation_camera_like,1,refused,1.27,H260,961,1783
H260__perspective_mild,H260__perspective_mild.jpg,98c295474cceec874feb6ad2fc385105247dc6b9bacf61d0c1a377cc3c639254,H260,H260.jpg,perspective_mild,rotation_camera_like,1,refused,1.27,H260,961,1783
H260__gaussian_blur_1_5,H260__gaussian_blur_1_5.jpg,df80399a53f91221997962093b44fe2f4f4cf35821080f93b72788bce6c0aab1,H260,H260.jpg,gaussian_blur_1_5,rotation_camera_like,1,refused,1.27,H260,961,1783
H230__original,H230__original.jpg,372560b4e33d049f88869545ad117a26ddc457dc1184087ad3f211072d9b092f,H230,H230.jpg,original,control,1,scored,1.48,H230,961,1783
H230__mirror,H230__mirror.jpg,da61e42fd496558200fcc52433b359d6fc146e66820b9b7d393fe299f58798b1,H230,H230.jpg,mirror,mirror,1,scored,1.48,H230,961,1783
H230__crop_center_10,H230__crop_center_10.jpg,ac1467ace68f0acc042a692074928dbd97d569402efd6c41c2339ba0c338c83e,H230,H230.jpg,crop_center_10,crop,1,scored,1.48,H230,769,1427
H230__crop_legs_20,H230__crop_legs_20.jpg,a8552ff049a5b49071bc626c6de170f350c01846357bbdf3bcb092669462420a,H230,H230.jpg,crop_legs_20,crop,1,scored,1.48,H230,961,1426
H230__pad_wide_black,H230__pad_wide_black.jpg,e52534af6a47ff2481bc420eaa52b9e8cd5095ebec7995a92e68bff62c524761,H230,H230.jpg,pad_wide_black,padding_aspect,1,scored,1.48,H230,1345,1783
H230__pad_tall_black,H230__pad_tall_black.jpg,6748ef8a4a8bc10ee553e2a45d4d19379aab6737ba8a79f91840f855ee7add58,H230,H230.jpg,pad_tall_black,padding_aspect,1,scored,1.48,H230,961,2318
H230__canvas_light_gray,H230__canvas_light_gray.jpg,b3916a47563510d76bc8ddcfd328912cd6450d74a52dde09925ebacf1fe70847,H230,H230.jpg,canvas_light_gray,background_canvas,1,scored,1.48,H230,1201,2229
H230__aspect_squeeze_80,H230__aspect_squeeze_80.jpg,c378a2c62d951f797a3addaf6a1ab7f857ce19a05446dc95d9cb20fd0c0b12e4,H230,H230.jpg,aspect_squeeze_80,padding_aspect,1,scored,1.48,H230,769,1783
H230__resolution_256,H230__resolution_256.jpg,8d981d730e247c1b950758af5effa2ebfe7710b4ef6b33b635cd03a80869abcb,H230,H230.jpg,resolution_256,resolution,1,scored,1.48,H230,138,256
H230__brightness_70,H230__brightness_70.jpg,abab31d6c9eb21e202d7072c09d334d5182b3451118b476e0ed8cce9376970af,H230,H230.jpg,brightness_70,lighting,1,scored,1.48,H230,961,1783
H230__brightness_130,H230__brightness_130.jpg,d9d9b6ccc8a7bb67df868f4e38bdeec8be91d1b0bb25bb5771424791677453a5,H230,H230.jpg,brightness_130,lighting,1,scored,1.48,H230,961,1783
H230__contrast_70,H230__contrast_70.jpg,8ceb4a21836ffa32f212dd99bcf428afdca8fa4eb4af5d6bb089f62807ca6ea5,H230,H230.jpg,contrast_70,lighting,1,scored,1.48,H230,961,1783
H230__contrast_130,H230__contrast_130.jpg,6556a884792d41ba19b4a62fd4cbe20737a3a2dad91a283685d75ee24e63a731,H230,H230.jpg,contrast_130,lighting,1,scored,1.48,H230,961,1783
H230__side_lighting,H230__side_lighting.jpg,748fa561ec6ce54c8e3751ee00827dc3029bcfc333b9aaf1f40ddaa2b3d76ba6,H230,H230.jpg,side_lighting,lighting,1,scored,1.48,H230,961,1783
H230__jpeg_q35,H230__jpeg_q35.jpg,1460659231f2ab791ac47bba83d603c1438294a29644230d4fd7d9d8430b1377,H230,H230.jpg,jpeg_q35,jpeg,1,scored,1.48,H230,961,1783
H230__rotate_3,H230__rotate_3.jpg,bf9ceb36bc21d7727192477e8f7b2d104d159bd682b943e641b1891806928d8a,H230,H230.jpg,rotate_3,rotation_camera_like,1,scored,1.48,H230,961,1783
H230__perspective_mild,H230__perspective_mild.jpg,6986e0ee0f5aef7e43219144857baed1695bf75488e090e4f344e72703923190,H230,H230.jpg,perspective_mild,rotation_camera_like,1,scored,1.48,H230,961,1783
H230__gaussian_blur_1_5,H230__gaussian_blur_1_5.jpg,851fbfca4a823cc30d5f610b102849def96e716afde6dc984496f408d4639ee5,H230,H230.jpg,gaussian_blur_1_5,rotation_camera_like,1,scored,1.48,H230,961,1783
T220__original,T220__original.jpg,12773b08a8ce4eee41434cc6ef1500291695b9647bf071683404d04db47862fe,T220,T220.jpg,original,control,2,scored,2.50,T220,961,1783
T220__mirror,T220__mirror.jpg,7390b184afbb8cef0e5c88c4c822681623eb6e5300aeccf48713780d15806ebb,T220,T220.jpg,mirror,mirror,2,scored,2.50,T220,961,1783
T220__crop_center_10,T220__crop_center_10.jpg,846e057a10556e4e1147e32548346c1d18c6d49d489892e4cab9a09c35b5842c,T220,T220.jpg,crop_center_10,crop,2,scored,2.50,T220,769,1427
T220__crop_legs_20,T220__crop_legs_20.jpg,08233d77dacb7fd5a830b3e3b0d072137997fb78d6a308583a604ec7b0039f49,T220,T220.jpg,crop_legs_20,crop,2,scored,2.50,T220,961,1426
T220__pad_wide_black,T220__pad_wide_black.jpg,6e1c62bba040e093926633b35728f6c906727a589caa54dc6223611401756a8d,T220,T220.jpg,pad_wide_black,padding_aspect,2,scored,2.50,T220,1345,1783
T220__pad_tall_black,T220__pad_tall_black.jpg,dfca99bc1489b7ac9327ed1bb28e2a7e61bd86aaf2b2bdcae651c8e2b0325a0a,T220,T220.jpg,pad_tall_black,padding_aspect,2,scored,2.50,T220,961,2318
T220__canvas_light_gray,T220__canvas_light_gray.jpg,b0718789d88c1d1392bb5a0553c608ad7779ef322b3406ce4ae1983a1bbd238d,T220,T220.jpg,canvas_light_gray,background_canvas,2,scored,2.50,T220,1201,2229
T220__aspect_squeeze_80,T220__aspect_squeeze_80.jpg,ad5d4e3e88e7c83513b3bca332ea28429324bac45ffee3be6616b5ad43aa8ecd,T220,T220.jpg,aspect_squeeze_80,padding_aspect,2,scored,2.50,T220,769,1783
T220__resolution_256,T220__resolution_256.jpg,cc14e2d2bcdb733ae47700525fd81a9a6134cb1a7eb947dd7c7a102f9fcab85c,T220,T220.jpg,resolution_256,resolution,2,scored,2.50,T220,138,256
T220__brightness_70,T220__brightness_70.jpg,f276df0dd6ecb4cacfab4114595a42c93977a7072e21e72bced51d3ba0def7a7,T220,T220.jpg,brightness_70,lighting,2,scored,2.50,T220,961,1783
T220__brightness_130,T220__brightness_130.jpg,f22207b74719b3dba6ff1e9c29f508068e3eb75109ace3052f9ba54433c304e2,T220,T220.jpg,brightness_130,lighting,2,scored,2.50,T220,961,1783
T220__contrast_70,T220__contrast_70.jpg,903bfc6519ec3edda5c8d597f19ae37e42251238e4c2968f7cdf7f97de3cacaf,T220,T220.jpg,contrast_70,lighting,2,scored,2.50,T220,961,1783
T220__contrast_130,T220__contrast_130.jpg,c43c0024f5e046699d3516ea2ef65cf50851b663cb5ad5306f72bfbe7b86700f,T220,T220.jpg,contrast_130,lighting,2,scored,2.50,T220,961,1783
T220__side_lighting,T220__side_lighting.jpg,7dde56065302e6e3e2cf7092dc20d241f5fb8d8e29db761d4ac7c22500bf0e0e,T220,T220.jpg,side_lighting,lighting,2,scored,2.50,T220,961,1783
T220__jpeg_q35,T220__jpeg_q35.jpg,d57f225605109a16df2d0d643a256a476ba91fe4018139cc4b25bba4c0072b3a,T220,T220.jpg,jpeg_q35,jpeg,2,scored,2.50,T220,961,1783
T220__rotate_3,T220__rotate_3.jpg,a8ed9173b19642c4fb4aca364b41b784d4b2ee9a06b8a96aa90399a3108aee80,T220,T220.jpg,rotate_3,rotation_camera_like,2,scored,2.50,T220,961,1783
T220__perspective_mild,T220__perspective_mild.jpg,c1860dad6af8b2e1123077358cb7d59a12afd00cf2f831ae6adc1a9fcd011980,T220,T220.jpg,perspective_mild,rotation_camera_like,2,scored,2.50,T220,961,1783
T220__gaussian_blur_1_5,T220__gaussian_blur_1_5.jpg,9a06402740e55177f444b56f911755c1f31d94841a51fd517fc39826b7b6e48c,T220,T220.jpg,gaussian_blur_1_5,rotation_camera_like,2,scored,2.50,T220,961,1783
H200__original,H200__original.jpg,7cd201d597a1a76d185d9848ceff4d2e41019066558601170786e06244b19fca,H200,H200.jpg,original,control,2,refused,1.80,H200,961,1783
H200__mirror,H200__mirror.jpg,f58c19a74acf58cb870a17024036df23eb7c47f70ee6f879f5dcdc338997c1bf,H200,H200.jpg,mirror,mirror,2,refused,1.80,H200,961,1783
H200__crop_center_10,H200__crop_center_10.jpg,edd19ac8ce568641a434757f97d8d151e62e7e2dc4c00471df364edd347b365d,H200,H200.jpg,crop_center_10,crop,2,refused,1.80,H200,769,1427
H200__crop_legs_20,H200__crop_legs_20.jpg,054d181585c6b370592e7cc5919e4da576268ecfec084d4b0c003e0a484e5d1e,H200,H200.jpg,crop_legs_20,crop,2,refused,1.80,H200,961,1426
H200__pad_wide_black,H200__pad_wide_black.jpg,c18d5c89db62b0d67f84bd2f0fdb9ad4ec1d5f4836e3dd0d0387bee215d1657a,H200,H200.jpg,pad_wide_black,padding_aspect,2,refused,1.80,H200,1345,1783
H200__pad_tall_black,H200__pad_tall_black.jpg,6f6c241a176ae0d6c827b099479e6339ae6cc97ff74cfd48b499043e97e44f79,H200,H200.jpg,pad_tall_black,padding_aspect,2,refused,1.80,H200,961,2318
H200__canvas_light_gray,H200__canvas_light_gray.jpg,54ba27b1ada4ec6c214d1086a502f77443f3473a01124a52730cfab345611947,H200,H200.jpg,canvas_light_gray,background_canvas,2,refused,1.80,H200,1201,2229
H200__aspect_squeeze_80,H200__aspect_squeeze_80.jpg,4391f31f3af1411c99f54c6fc003cf06b2abf113d9110e3827b359acca4eb4e5,H200,H200.jpg,aspect_squeeze_80,padding_aspect,2,refused,1.80,H200,769,1783
H200__resolution_256,H200__resolution_256.jpg,341c35ee1ec2c6e542929ab674d0f49b389366156a06a55daaa97294a84bbb12,H200,H200.jpg,resolution_256,resolution,2,refused,1.80,H200,138,256
H200__brightness_70,H200__brightness_70.jpg,7aa9a1d5935052550f0016de6d11fb8a4d8307c937047bfff7d2f8ddd82718ab,H200,H200.jpg,brightness_70,lighting,2,refused,1.80,H200,961,1783
H200__brightness_130,H200__brightness_130.jpg,09b8d99dc116c6160b214e4ced35f8949aaaad19011f749f475f22f4c3744f5c,H200,H200.jpg,brightness_130,lighting,2,refused,1.80,H200,961,1783
H200__contrast_70,H200__contrast_70.jpg,7ab704762bb3edd51ed64a887a57f22355a7ad83ac74846e0e6f3f7c3e264df6,H200,H200.jpg,contrast_70,lighting,2,refused,1.80,H200,961,1783
H200__contrast_130,H200__contrast_130.jpg,a8f679d4d2dd4cc5c2c2c9fc36ee289ac6d66e76f8572f10f80c12b058e5c02b,H200,H200.jpg,contrast_130,lighting,2,refused,1.80,H200,961,1783
H200__side_lighting,H200__side_lighting.jpg,ac73199a72ea284d884fce58c52a81fdd0b5e222ee6e30a0df172707eb1a5e54,H200,H200.jpg,side_lighting,lighting,2,refused,1.80,H200,961,1783
H200__jpeg_q35,H200__jpeg_q35.jpg,66c8d57c8c945e2b40b5643825d9104d29480d29e3c039bc68fa32f2788eb346,H200,H200.jpg,jpeg_q35,jpeg,2,refused,1.80,H200,961,1783
H200__rotate_3,H200__rotate_3.jpg,a4fe6f71924ab3d809089bc977298f915455f50488977d88874fc7867a329839,H200,H200.jpg,rotate_3,rotation_camera_like,2,refused,1.80,H200,961,1783
H200__perspective_mild,H200__perspective_mild.jpg,efba4652543d012170847a8a19d2608a655ba114f45b7878f7832bd55cf74744,H200,H200.jpg,perspective_mild,rotation_camera_like,2,refused,1.80,H200,961,1783
H200__gaussian_blur_1_5,H200__gaussian_blur_1_5.jpg,b9a3d3cb835224eb24d1b9d1c576267aca5b9eb4264c0b12729030ce99b85f2f,H200,H200.jpg,gaussian_blur_1_5,rotation_camera_like,2,refused,1.80,H200,961,1783
T230__original,T230__original.jpg,b388352d3075f837db6bc60c6bf7a931d6fc67a69dbb2db2fbd3f120b311885d,T230,T230.jpg,original,control,2,scored,2.33,T230,961,1783
T230__mirror,T230__mirror.jpg,48c197a3b79e04bc20ecf8606aed75fac3bcf6c9aa7d9451bcf33aac4ee08ae7,T230,T230.jpg,mirror,mirror,2,scored,2.33,T230,961,1783
T230__crop_center_10,T230__crop_center_10.jpg,47699e45afd4f6f4a8f2e8ab7cfd4952c17d6dfcc6c034b94fa2a75a55f34494,T230,T230.jpg,crop_center_10,crop,2,scored,2.33,T230,769,1427
T230__crop_legs_20,T230__crop_legs_20.jpg,ef404b3fb563d74aceedbd83adc089519e967bc1fffc991ded4be8b97efd1696,T230,T230.jpg,crop_legs_20,crop,2,scored,2.33,T230,961,1426
T230__pad_wide_black,T230__pad_wide_black.jpg,02c9b8f4e405e0690b9e31e0e7c0a2780c70a1bf7df57d5e79a11e7447cb7419,T230,T230.jpg,pad_wide_black,padding_aspect,2,scored,2.33,T230,1345,1783
T230__pad_tall_black,T230__pad_tall_black.jpg,c78c2c5ba4bd3a95b4c265648afde6aab0cc70263e5edb3ee39100d68fdf3bbb,T230,T230.jpg,pad_tall_black,padding_aspect,2,scored,2.33,T230,961,2318
T230__canvas_light_gray,T230__canvas_light_gray.jpg,3ec007d499274a46b1c4d5a668c87f1d95b1ad5a41b3e945aee3c2bb9c206df3,T230,T230.jpg,canvas_light_gray,background_canvas,2,scored,2.33,T230,1201,2229
T230__aspect_squeeze_80,T230__aspect_squeeze_80.jpg,69e42e3620c345c5851a36697c609fc6f3d58bff1c045f96df7dd2313d79c14a,T230,T230.jpg,aspect_squeeze_80,padding_aspect,2,scored,2.33,T230,769,1783
T230__resolution_256,T230__resolution_256.jpg,b8ed919559848ae2735f143d1c4b41fa2b96608bca8015f3188f8eb280f467a2,T230,T230.jpg,resolution_256,resolution,2,scored,2.33,T230,138,256
T230__brightness_70,T230__brightness_70.jpg,ec963ad48ae43dba9fbd1d8ab74ccae1e49897e55e9c541ec8c8bd5b6b1afff2,T230,T230.jpg,brightness_70,lighting,2,scored,2.33,T230,961,1783
T230__brightness_130,T230__brightness_130.jpg,c070695de896e23181e4279080d1bddb6d1ba4e94a29b9566fd9d3a90492e43e,T230,T230.jpg,brightness_130,lighting,2,scored,2.33,T230,961,1783
T230__contrast_70,T230__contrast_70.jpg,bb0e60c1732af077db5f3158e8780d17aa8618d4d23b5867e0bd3e583e4a080e,T230,T230.jpg,contrast_70,lighting,2,scored,2.33,T230,961,1783
T230__contrast_130,T230__contrast_130.jpg,840f2abc8764b29fa50538d38591aedcf88c30ae07304191b022af5d4b10d314,T230,T230.jpg,contrast_130,lighting,2,scored,2.33,T230,961,1783
T230__side_lighting,T230__side_lighting.jpg,654335a043dd24ca9d56a39682a91ddc7aa40483c60243619b98a92e2b1fa45e,T230,T230.jpg,side_lighting,lighting,2,scored,2.33,T230,961,1783
T230__jpeg_q35,T230__jpeg_q35.jpg,ae6b1a0cd96fc57fc3104858fc23355cc64e694072cc1c787d0a59cb5bc30f90,T230,T230.jpg,jpeg_q35,jpeg,2,scored,2.33,T230,961,1783
T230__rotate_3,T230__rotate_3.jpg,3a19967ad2606f8537d27b200b5b7a75bed6cfdcdcb45c633b874b43c4c28f29,T230,T230.jpg,rotate_3,rotation_camera_like,2,scored,2.33,T230,961,1783
T230__perspective_mild,T230__perspective_mild.jpg,8927776269d8609560d661dd36e99aba1a49dece8275033d249c283dcd37c75d,T230,T230.jpg,perspective_mild,rotation_camera_like,2,scored,2.33,T230,961,1783
T230__gaussian_blur_1_5,T230__gaussian_blur_1_5.jpg,04174f3816950e29defbe5b8c5bd4c829e2e54d8f1cfb2e1f9c0b78dd34a4faa,T230,T230.jpg,gaussian_blur_1_5,rotation_camera_like,2,scored,2.33,T230,961,1783
T200__original,T200__original.jpg,fd2061ee7cb5e483263e52a5c2fd7a2ade376f51954df503bbd085ac7c385fb8,T200,T200.jpg,original,control,3,scored,3.40,T200,961,1783
T200__mirror,T200__mirror.jpg,b5f3ec4da2ec78fe01927d46d707b0743a8b75aabd47309eb359bf3fcdbd9b99,T200,T200.jpg,mirror,mirror,3,scored,3.40,T200,961,1783
T200__crop_center_10,T200__crop_center_10.jpg,d76727865e9c08cc786d109ad69bbe71575efa0c50ddc65db855389c3d93ee75,T200,T200.jpg,crop_center_10,crop,3,scored,3.40,T200,769,1427
T200__crop_legs_20,T200__crop_legs_20.jpg,058e4462528ab93aa2bf044285fd4735666675e6cfe901693ba8826e11f0b1f7,T200,T200.jpg,crop_legs_20,crop,3,scored,3.40,T200,961,1426
T200__pad_wide_black,T200__pad_wide_black.jpg,e12b25699599d3d1343fe9be9b847a1f9028c409c1c17a4de363e3ed7e7c9bc2,T200,T200.jpg,pad_wide_black,padding_aspect,3,scored,3.40,T200,1345,1783
T200__pad_tall_black,T200__pad_tall_black.jpg,859a376fd071ebfbc8c2443a2440acbff411bb3393277ca1d796e11fd1cc1c7f,T200,T200.jpg,pad_tall_black,padding_aspect,3,scored,3.40,T200,961,2318
T200__canvas_light_gray,T200__canvas_light_gray.jpg,b13de9deef6073e2ccacade69fdd1b4763c90c0a591bb0d902c0bb3e7cba5dda,T200,T200.jpg,canvas_light_gray,background_canvas,3,scored,3.40,T200,1201,2229
T200__aspect_squeeze_80,T200__aspect_squeeze_80.jpg,ad2e8190638aa641447bab278b0b77db1f84b30e55f799daaa433e4b24831452,T200,T200.jpg,aspect_squeeze_80,padding_aspect,3,scored,3.40,T200,769,1783
T200__resolution_256,T200__resolution_256.jpg,713fca196084cd5d46aa10203c3ff92b6b0e017220bfe564de6268d1e613685f,T200,T200.jpg,resolution_256,resolution,3,scored,3.40,T200,138,256
T200__brightness_70,T200__brightness_70.jpg,aa303079215615a9da532889f51bd945d1aa4d9873296cedc5caeb6367ca0148,T200,T200.jpg,brightness_70,lighting,3,scored,3.40,T200,961,1783
T200__brightness_130,T200__brightness_130.jpg,b0d3c01b3c0ba38f920ded7104eff1c4f69b4f3c484ded59d32f8d392085044b,T200,T200.jpg,brightness_130,lighting,3,scored,3.40,T200,961,1783
T200__contrast_70,T200__contrast_70.jpg,bbc970864cd296164b36e4c5990c44980d23f6fa114297d9a5391567ec7e5e37,T200,T200.jpg,contrast_70,lighting,3,scored,3.40,T200,961,1783
T200__contrast_130,T200__contrast_130.jpg,431ab6c11ff0b6552b3714925838c5e273d959e8034a219edfb2fc7d5f55aba6,T200,T200.jpg,contrast_130,lighting,3,scored,3.40,T200,961,1783
T200__side_lighting,T200__side_lighting.jpg,89c9542fc6b62c9bef52757c209c3bd69c5345a53a3cbfecc20d1c228af0fd89,T200,T200.jpg,side_lighting,lighting,3,scored,3.40,T200,961,1783
T200__jpeg_q35,T200__jpeg_q35.jpg,4a1ed27bfcc705a64350502b1d78f1a3982668db1993ba3d8e84cb28e173134c,T200,T200.jpg,jpeg_q35,jpeg,3,scored,3.40,T200,961,1783
T200__rotate_3,T200__rotate_3.jpg,117bb3dbbba53fea35a15d71356eb655772811b332895602baf06aa322e9290f,T200,T200.jpg,rotate_3,rotation_camera_like,3,scored,3.40,T200,961,1783
T200__perspective_mild,T200__perspective_mild.jpg,3b03a3a97f16d713d705fe9ef1e317f83f23047fef92acc8811b4b2336eee057,T200,T200.jpg,perspective_mild,rotation_camera_like,3,scored,3.40,T200,961,1783
T200__gaussian_blur_1_5,T200__gaussian_blur_1_5.jpg,7b576c58ad2160cb66232814126fb08eca98b16bf2774ff2a23677fb35981bbb,T200,T200.jpg,gaussian_blur_1_5,rotation_camera_like,3,scored,3.40,T200,961,1783
T170__original,T170__original.jpg,6fe29d558fb66866d308ff8c9fe7bcec2526d1afccf920050aece0cae6cdcde9,T170,T170.jpg,original,control,3,scored,4.62,T170,961,1783
T170__mirror,T170__mirror.jpg,359da0bbb49f1f2be424721f8770206a3469b623b657db768aad611dbf56c80f,T170,T170.jpg,mirror,mirror,3,scored,4.62,T170,961,1783
T170__crop_center_10,T170__crop_center_10.jpg,c656d0a1d77c58576e1bb017d20bccaf8e293fb58700e4ef96e57da6e166b792,T170,T170.jpg,crop_center_10,crop,3,scored,4.62,T170,769,1427
T170__crop_legs_20,T170__crop_legs_20.jpg,1eb6e633114be56d95bfda1470b8eb02ca6f41b54194aeaf2c6ea8e3a280b59b,T170,T170.jpg,crop_legs_20,crop,3,scored,4.62,T170,961,1426
