image_id,filename,identity_group,label,baseline_model_raw,candidate_model_raw,baseline_continuous_score,baseline_public_half_point,candidate_continuous_score,candidate_public_half_point,candidate_minus_baseline_raw,letterbox_fraction
T160,T160.jpg,T160,5.07,44.418,41.14401626586914,7.96,8.0,7.47225393254843,7.5,-3.2739837341308586,0.46102075154234434
T150,T150.jpg,T150,5.64,36.979,41.20530700683594,7.09,7.0,7.4791601817297515,7.5,4.226307006835938,0.46102075154234434
T140,T140.jpg,T140,5.95,43.758,41.148460388183594,7.88,8.0,7.472753084201693,7.5,-2.609539611816409,0.46102075154234434
T130,T130.jpg,T130,6.58,37.501,41.24612045288086,7.11,7.0,7.483785895554476,7.5,3.7451204528808617,0.46102075154234434
T120,T120.jpg,T120,6.87,42.293,41.27130126953125,7.67,7.5,7.486650675988883,7.5,-1.0216987304687493,0.46102075154234434
T110,T110.jpg,T110,7.26,44.135,40.931480407714844,7.92,8.0,7.458530468378057,7.5,-3.2035195922851543,0.46102075154234434
T100,T100.jpg,T100,7.42,42.149,41.69056701660156,7.62,7.5,7.535624418716258,7.5,-0.4584329833984384,0.46102075154234434
T090,T090.jpg,T090,7.47,41.803,41.66474151611328,7.55,7.5,7.532535346126625,7.5,-0.13825848388671602,0.46102075154234434
T080,T080.jpg,T080,7.55,42.634,41.88716125488281,7.73,7.5,7.559471462087634,7.5,-0.7468387451171878,0.46102075154234434
T070,T070.jpg,T070,7.94,37.886,41.775917053222656,7.13,7.0,7.545904578062972,7.5,3.8899170532226535,0.46102075154234434
T060,T060.jpg,T060,8.03,37.777,41.77989196777344,7.12,7.0,7.54638603936289,7.5,4.0028919677734365,0.46102075154234434
T050,T050.jpg,T050,7.97,39.704,41.94364929199219,7.4,7.5,7.566821505055052,7.5,2.239649291992187,0.46102075154234434
T040,T040.jpg,T040,8.29,39.748,41.96918869018555,7.4,7.5,7.573732901907935,7.5,2.2211886901855493,0.46102075154234434
T030,T030.jpg,T030,8.18,41.157,41.90624237060547,7.47,7.5,7.561818036762952,7.5,0.7492423706054723,0.46102075154234434
T020,T020.jpg,T020,8.23,41.79,42.231895446777344,7.55,7.5,7.647958639926824,7.5,0.4418954467773446,0.46102075154234434
T010,T010.jpg,T010,8.11,39.001,42.18632888793945,7.28,7.5,7.6346497804467415,7.5,3.1853288879394555,0.46102075154234434
N000,N000.jpg,N000,8.19,41.09,42.43067169189453,7.47,7.5,7.694395158218589,7.5,1.3406716918945278,0.46102075154234434
H010,H010.jpg,H010,7.89,39.873,43.219970703125,7.41,7.5,7.823478849372588,8.0,3.3469707031250024,0.46102075154234434
H020,H020.jpg,H020,7.24,37.301,42.618072509765625,7.1,7.0,7.72766079219598,7.5,5.317072509765623,0.46102075154234434
H030,H030.jpg,H030,6.57,37.279,42.08507537841797,7.1,7.0,7.605747484468545,7.5,4.806075378417965,0.46102075154234434
H040,H040.jpg,H040,5.93,37.614,41.46696853637695,7.11,7.0,7.509200466941534,7.5,3.852968536376956,0.46102075154234434
H050,H050.jpg,H050,5.5,39.323,41.15984344482422,7.38,7.5,7.474032743068383,7.5,1.8368434448242184,0.46102075154234434
H060,H060.jpg,H060,4.86,37.594,41.04979705810547,7.11,7.0,7.46461190742707,7.5,3.4557970581054676,0.46102075154234434
H070,H070.jpg,H070,4.53,38.765,42.05933380126953,7.24,7.0,7.598541038828089,7.5,3.2943338012695307,0.46102075154234434
H080,H080.jpg,H080,4.29,36.7,42.293190002441406,7.07,7.0,7.666173274100225,7.5,5.593190002441403,0.46102075154234434
H090,H090.jpg,H090,3.72,39.429,42.248268127441406,7.38,7.5,7.652788432852538,7.5,2.819268127441404,0.46102075154234434
H100,H100.jpg,H100,3.46,38.876,40.60687255859375,7.26,7.5,7.442032720710331,7.5,1.7308725585937523,0.46102075154234434
H110,H110.jpg,H110,3.22,38.849,40.499656677246094,7.25,7.5,7.436642447359201,7.5,1.650656677246097,0.46102075154234434
H120,H120.jpg,H120,2.97,38.621,40.32490539550781,7.22,7.0,7.427917868382815,7.5,1.7039053955078103,0.46102075154234434
H130,H130.jpg,H130,2.93,37.665,40.38269805908203,7.12,7.0,7.430794912462082,7.5,2.717698059082032,0.46102075154234434
H140,H140.jpg,H140,2.64,39.572,40.143184661865234,7.39,7.5,7.418924048796945,7.5,0.5711846618652316,0.46102075154234434
H150,H150.jpg,H150,2.51,39.476,39.518245697021484,7.39,7.5,7.388582934293313,7.5,0.042245697021485284,0.46102075154234434
H160,H160.jpg,H160,2.3,39.751,39.65749740600586,7.4,7.5,7.395266791283905,7.5,-0.0935025939941383,0.46102075154234434
H170,H170.jpg,H170,2.08,39.4,39.44062042236328,7.38,7.5,7.384875657975031,7.5,0.04062042236328267,0.46102075154234434
H180,H180.jpg,H180,2.08,38.965,41.67344665527344,7.27,7.5,7.533575490329835,7.5,2.708446655273434,0.46102075154234434
H210,H210.jpg,H210,1.68,37.838,39.70082473754883,7.12,7.0,7.39735526841161,7.5,1.8628247375488272,0.46102075154234434
H220,H220.jpg,H220,1.55,39.125,38.86468505859375,7.31,7.5,7.255603251501678,7.5,-0.26031494140625,0.46102075154234434
H230,H230.jpg,H230,1.48,36.801,38.820430755615234,7.08,7.0,7.2482800481238705,7.0,2.0194307556152324,0.46102075154234434
H240,H240.jpg,H240,1.51,37.289,37.60877227783203,7.1,7.0,7.114287530306779,7.0,0.31977227783202977,0.46102075154234434
