identity_id,split,expected_sex,expected_looks,editorial_ethnicity,submitted_images,scored_images,refused_images,error_images,refusal_rate,raw_mean,aggregate_display_score,raw_sd,raw_range,raw_mad,worst_pair_absolute_raw_gap,worst_pair_image_a,worst_pair_raw_a,worst_pair_image_b,worst_pair_raw_b
anna-henrietta,holdout,f,7.5,white,5,2,3,0,0.6,3.681,6.623600643283034,0.0028284271247461927,0.0040000000000000036,0.0020000000000000018,0.0040000000000000036,images/roster/anna-henrietta/1.jpg,3.679,images/roster/anna-henrietta/5.jpg,3.683
anna-sorokin,holdout,f,5.5,white,4,3,1,0,0.25,3.794333333333333,6.779109690281819,0.3625773480698062,0.7130000000000001,0.242,0.7130000000000001,images/roster/anna-sorokin/2.jpg,3.476,images/roster/anna-sorokin/4.jpg,4.189
anne-hathaway,train,f,8.3,white,5,5,0,0,0.0,3.9142,6.996727695916652,0.2823936968135091,0.7010000000000005,0.0990000000000002,0.7010000000000005,images/roster/anne-hathaway/6.jpg,3.699,images/roster/anne-hathaway/7.jpg,4.4
armie-hammer,train,m,8.0,white,5,5,0,0,0.0,3.7263999999999995,6.682999317796991,0.3746529060343719,0.7959999999999998,0.21599999999999975,0.7959999999999998,images/roster/armie-hammer/1.jpg,4.074,images/roster/armie-hammer/3.jpg,3.278
asmr-darling,train,f,7.4,white,3,3,0,0,0.0,3.010333333333333,5.886415281480332,0.6292982864535175,1.1520000000000001,0.137,1.1520000000000001,images/roster/asmr-darling/1.jpg,3.44,images/roster/asmr-darling/5.jpg,2.288
aubrey-oday,validation,f,5.5,white,3,3,0,0,0.0,4.124666666666667,7.707232118891916,0.18404981209806598,0.3340000000000001,0.032999999999999474,0.3340000000000001,images/roster/aubrey-oday/2.jpg,3.913,images/roster/aubrey-oday/4.jpg,4.247
awkwafina,validation,f,5.4,east-asian,2,2,0,0,0.0,2.71,4.834015271324928,0.36910973977937794,0.5220000000000002,0.2610000000000001,0.5220000000000002,images/roster/awkwafina/1.jpg,2.971,images/roster/awkwafina/2.jpg,2.449
azealia-banks,validation,f,6.0,black,5,4,1,0,0.2,2.8745,5.598047479181134,0.3719592271562391,0.819,0.16100000000000003,0.819,images/roster/azealia-banks/3.jpg,3.392,images/roster/azealia-banks/4.jpg,2.573
bad-bunny,train,m,6.5,latino,5,4,1,0,0.2,3.835,6.844367615130115,0.32876840886354447,0.7560000000000002,0.2015,0.7560000000000002,images/roster/bad-bunny/2.jpg,3.505,images/roster/bad-bunny/4.jpg,4.261
barack-obama,train,m,7.1,mixed,3,3,0,0,0.0,3.087666666666667,6.001300009339711,0.2629569039468887,0.47499999999999964,0.041999999999999815,0.47499999999999964,images/roster/barack-obama/1.jpg,3.26,images/roster/barack-obama/2.jpg,2.785
bella-hadid,train,f,9.3,mixed,2,1,1,0,0.5,3.789,6.7714502646407775,,,,,,,,
bella-thorne,train,f,7.5,latino,5,4,1,0,0.2,3.7032499999999997,6.651787235341251,0.528728900288229,1.294,0.30900000000000016,1.294,images/roster/bella-thorne/8.jpg,4.332,images/roster/bella-thorne/9.jpg,3.038
ben-shapiro,validation,m,5.0,white,5,4,1,0,0.2,3.8247500000000003,6.825985052389303,0.5495497399386763,1.2190000000000003,0.12850000000000028,1.2190000000000003,images/roster/ben-shapiro/2.jpg,3.016,images/roster/ben-shapiro/6.jpg,4.235
beyonce,validation,f,8.9,black,4,2,2,0,0.5,3.383,6.318058487088996,0.39880822458921283,0.5640000000000001,0.28200000000000003,0.5640000000000001,images/roster/beyonce/1.jpg,3.101,images/roster/beyonce/2.jpg,3.665
bill-gates,train,m,3.4,white,4,4,0,0,0.0,3.0475,5.943019492601752,0.3651670850446409,0.8479999999999999,0.25649999999999995,0.8479999999999999,images/roster/bill-gates/1.jpg,2.648,images/roster/bill-gates/4.jpg,3.496
billie-eilish,train,f,7.8,white,4,2,2,0,0.5,3.421,6.357938187423278,0.5020458146424487,0.71,0.355,0.71,images/roster/billie-eilish/1.jpg,3.066,images/roster/billie-eilish/3.jpg,3.776
billy-mcfarland,train,m,5.5,white,2,1,1,0,0.5,3.744,6.707701338688954,,,,,,,,
blaire-white,train,f,7.0,white,3,3,0,0,0.0,2.8433333333333337,5.504253678768263,0.3839301151685464,0.762,0.29899999999999993,0.762,images/roster/blaire-white/2.jpg,3.197,images/roster/blaire-white/4.jpg,2.435
brad-pitt,train,m,9.5,white,5,5,0,0,0.0,3.1016,6.020061350604717,0.6284483272314437,1.6429999999999998,0.09499999999999975,1.6429999999999998,images/roster/brad-pitt/1.jpg,2.534,images/roster/brad-pitt/5.jpg,4.177
bruno-mars,validation,m,7.1,mixed,4,2,2,0,0.5,3.2165,6.1563658490278375,0.526794551983978,0.7450000000000001,0.37250000000000005,0.7450000000000001,images/roster/bruno-mars/2.jpg,3.589,images/roster/bruno-mars/4.jpg,2.844
callan-exorcist,holdout,f,8.6,white,4,3,1,0,0.25,3.8266666666666667,6.828997595702642,0.5499430273522277,1.0519999999999996,0.24800000000000022,1.0519999999999996,images/roster/callan-exorcist/1.jpg,3.208,images/roster/callan-exorcist/2.jpg,4.26
casey-anthony,train,f,4.4,white,2,1,1,0,0.5,3.743,6.7062877682438415,,,,,,,,
chloe-grace-moretz,train,f,7.4,white,5,5,0,0,0.0,3.6292,6.566446953489406,0.6372881608817161,1.5380000000000003,0.6830000000000003,1.5380000000000003,images/roster/chloe-grace-moretz/1.jpg,2.745,images/roster/chloe-grace-moretz/8.jpg,4.283
chris-brown,train,m,7.5,black,4,2,2,0,0.5,2.319,3.188106834109662,0.12727922061357835,0.17999999999999972,0.08999999999999986,0.17999999999999972,images/roster/chris-brown/2.jpg,2.409,images/roster/chris-brown/3.jpg,2.229
chris-hemsworth,holdout,m,9.5,white,5,5,0,0,0.0,3.1844,6.122572307739494,0.45023860340934785,1.1219999999999999,0.4620000000000002,1.1219999999999999,images/roster/chris-hemsworth/4.jpg,2.716,images/roster/chris-hemsworth/5.jpg,3.838
conor-mcgregor,train,m,7.0,white,4,4,0,0,0.0,3.3635,6.2973877267613645,0.3478059803971174,0.758,0.17699999999999982,0.758,images/roster/conor-mcgregor/1.jpg,3.655,images/roster/conor-mcgregor/3.jpg,2.897
courtney-clenney,holdout,f,7.9,white,2,2,0,0,0.0,3.6065,6.538636966829859,0.5748778131046629,0.8129999999999997,0.40649999999999986,0.8129999999999997,images/roster/courtney-clenney/1.jpg,4.013,images/roster/courtney-clenney/2.jpg,3.2
cristiano-ronaldo,holdout,m,9.0,white,5,4,1,0,0.2,3.512,6.435161945810044,0.21601234532621816,0.472,0.1100000000000001,0.472,images/roster/cristiano-ronaldo/1.jpg,3.222,images/roster/cristiano-ronaldo/5.jpg,3.694
dan-bilzerian,train,m,6.0,white,2,1,1,0,0.5,3.87,6.916580853634513,,,,,,,,
danny-devito,train,m,2.5,white,5,5,0,0,0.0,2.8442,5.507018588568497,0.3155656825448547,0.778,0.17600000000000016,0.778,images/roster/danny-devito/1.jpg,3.38,images/roster/danny-devito/4.jpg,2.602
denzel-washington,holdout,m,8.8,black,4,3,1,0,0.25,2.138333333333333,2.5506620717791897,0.25093890358677606,0.48999999999999977,0.1509999999999998,0.48999999999999977,images/roster/denzel-washington/1.jpg,1.862,images/roster/denzel-washington/2.jpg,2.352
dev-patel,train,m,8.0,south-asian,5,5,0,0,0.0,3.471,6.40149808274405,0.4376511167585432,1.134,0.3450000000000002,1.134,images/roster/dev-patel/3.jpg,2.829,images/roster/dev-patel/8.jpg,3.963
dizzykitten,train,f,7.2,white,4,2,2,0,0.5,2.9844999999999997,5.840399991205202,0.3599173516239526,0.5089999999999999,0.25449999999999995,0.5089999999999999,images/roster/dizzykitten/1.jpg,3.239,images/roster/dizzykitten/4.jpg,2.73
dolly-parton,train,f,8.0,white,4,4,0,0,0.0,2.895,5.652369051852542,0.42706830054844075,0.9259999999999997,0.3345,0.9259999999999997,images/roster/dolly-parton/1.jpg,2.45,images/roster/dolly-parton/2.jpg,3.376
drake,validation,m,7.0,mixed,4,4,0,0,0.0,3.3514999999999997,6.284721012467223,0.16124825580452035,0.3120000000000003,0.135,0.3120000000000003,images/roster/drake/2.jpg,3.199,images/roster/drake/5.jpg,3.511
dwayne-johnson,holdout,m,7.5,mixed,5,5,0,0,0.0,3.5700000000000003,6.494758064762457,0.4425917983876341,1.1570000000000005,0.274,1.1570000000000005,images/roster/dwayne-johnson/3.jpg,2.889,images/roster/dwayne-johnson/4.jpg,4.046
ed-sheeran,validation,m,4.5,white,5,5,0,0,0.0,3.8698,6.916203152533867,0.1261713121117475,0.3500000000000001,0.04800000000000004,0.3500000000000001,images/roster/ed-sheeran/2.jpg,3.688,images/roster/ed-sheeran/3.jpg,4.038
elizabeth-holmes,train,f,5.0,white,5,4,1,0,0.2,3.82925,6.833067743864201,0.4063860028757553,0.8730000000000002,0.062000000000000055,0.8730000000000002,images/roster/elizabeth-holmes/2.jpg,3.561,images/roster/elizabeth-holmes/3.jpg,4.434
elizabeth-olsen,holdout,f,8.0,white,5,3,2,0,0.4,2.980333333333333,5.832478734526871,0.4244176402240291,0.8300000000000001,0.2609999999999997,0.8300000000000001,images/roster/elizabeth-olsen/6.jpg,3.344,images/roster/elizabeth-olsen/7.jpg,2.514
elon-musk,train,m,5.5,white,5,4,1,0,0.2,2.8795,5.611663237596455,0.18054085410233323,0.4079999999999999,0.04950000000000032,0.4079999999999999,images/roster/elon-musk/2.jpg,2.735,images/roster/elon-musk/5.jpg,3.143
eminem,validation,m,6.6,white,4,1,3,0,0.75,3.223,6.163254942630251,,,,,,,,
emma-blackery,train,f,6.5,white,4,3,1,0,0.25,3.9623333333333335,7.118221428847969,0.47642453057471046,0.8999999999999999,0.17900000000000027,0.8999999999999999,images/roster/emma-blackery/1.jpg,4.322,images/roster/emma-blackery/2.jpg,3.422
emma-stone,holdout,f,8.0,white,5,5,0,0,0.0,3.3834000000000004,6.318474779178812,0.3421940969683726,0.798,0.35199999999999987,0.798,images/roster/emma-stone/1.jpg,3.017,images/roster/emma-stone/3.jpg,3.815
emma-watson,holdout,f,8.0,white,5,5,0,0,0.0,4.038,7.395174625815355,0.17412782661022339,0.41000000000000014,0.0810000000000004,0.41000000000000014,images/roster/emma-watson/3.jpg,3.798,images/roster/emma-watson/7.jpg,4.208
emmy-rossum,validation,f,8.0,white,5,5,0,0,0.0,3.8612,6.900058395462115,0.3962539589707591,0.9130000000000003,0.2110000000000003,0.9130000000000003,images/roster/emmy-rossum/2.jpg,3.359,images/roster/emmy-rossum/7.jpg,4.272
evil-addams,holdout,f,7.8,white,5,4,1,0,0.2,3.7845,6.76501710452423,0.5203245781881408,1.0899999999999999,0.2715000000000001,1.0899999999999999,images/roster/evil-addams/1.jpg,4.194,images/roster/evil-addams/3.jpg,3.104
farrah-abraham,validation,f,5.8,white,2,1,1,0,0.5,3.574,6.499518544187748,,,,,,,,
frivolousfox,holdout,f,7.2,white,4,4,0,0,0.0,3.792,6.775753993101475,0.18748511051991995,0.4519999999999995,0.1279999999999999,0.4519999999999995,images/roster/frivolousfox/1.jpg,4.023,images/roster/frivolousfox/4.jpg,3.571
gab-smolders,train,f,6.5,white,4,3,1,0,0.25,3.6993333333333336,6.646584346679333,0.12107986345108486,0.2360000000000002,0.07100000000000017,0.2360000000000002,images/roster/gab-smolders/1.jpg,3.597,images/roster/gab-smolders/5.jpg,3.833
gal-gadot,train,f,9.0,middle-eastern,5,4,1,0,0.2,3.66375,6.605134522547363,0.2516934312478842,0.5580000000000003,0.09950000000000014,0.5580000000000003,images/roster/gal-gadot/3.jpg,3.866,images/roster/gal-gadot/5.jpg,3.308
george-clooney,train,m,8.5,white,5,5,0,0,0.0,3.7095999999999996,6.660256538197852,0.4916810958334679,1.1799999999999997,0.5329999999999999,1.1799999999999997,images/roster/george-clooney/4.jpg,3.226,images/roster/george-clooney/5.jpg,4.406
george-santos,train,m,4.0,latino,3,3,0,0,0.0,2.8336666666666672,5.467503752702663,0.18104511408301896,0.3420000000000001,0.06800000000000006,0.3420000000000001,images/roster/george-santos/2.jpg,2.697,images/roster/george-santos/3.jpg,3.039
gibi-asmr,train,f,7.2,white,4,3,1,0,0.25,3.7756666666666665,6.752466077923319,0.1921102114238942,0.383,0.16500000000000004,0.383,images/roster/gibi-asmr/4.jpg,3.976,images/roster/gibi-asmr/5.jpg,3.593
glen-powell,validation,m,8.7,white,4,1,3,0,0.75,3.093,6.008530448623422,,,,,,,,
grimes,train,f,7.0,white,5,3,2,0,0.4,3.638666666666667,6.578169517835163,0.42367715696427766,0.7579999999999996,0.05099999999999971,0.7579999999999996,images/roster/grimes/5.jpg,4.127,images/roster/grimes/7.jpg,3.369
hailee-steinfeld,train,f,8.0,mixed,5,5,0,0,0.0,3.6018,6.532930168593553,0.5059522704761783,1.4129999999999998,0.12200000000000033,1.4129999999999998,images/roster/hailee-steinfeld/4.jpg,2.93,images/roster/hailee-steinfeld/6.jpg,4.343
harry-styles,train,m,8.0,white,4,4,0,0,0.0,3.54125,6.463518511308131,0.33449900348630834,0.8029999999999999,0.22049999999999992,0.8029999999999999,images/roster/harry-styles/2.jpg,3.924,images/roster/harry-styles/4.jpg,3.121
hasan-piker,holdout,m,8.2,middle-eastern,3,2,1,0,0.3333333333333333,2.6605,4.591208572111776,0.0657609306503489,0.09299999999999997,0.046499999999999986,0.09299999999999997,images/roster/hasan-piker/1.jpg,2.614,images/roster/hasan-piker/2.jpg,2.707
henry-cavill,train,m,9.5,white,5,5,0,0,0.0,3.543,6.465372290741657,0.46749919786027455,1.1550000000000002,0.43400000000000016,1.1550000000000002,images/roster/henry-cavill/5.jpg,3.019,images/roster/henry-cavill/7.jpg,4.174
idris-elba,train,m,9.0,black,5,3,2,0,0.4,2.6523333333333334,4.548358612406349,0.5706753309311112,1.005,0.03399999999999981,1.005,images/roster/idris-elba/4.jpg,3.311,images/roster/idris-elba/6.jpg,2.306
ihascupquake,train,f,6.5,latino,4,4,0,0,0.0,3.07475,5.980342776628339,0.5912514270595887,1.124,0.4770000000000001,1.124,images/roster/ihascupquake/3.jpg,3.668,images/roster/ihascupquake/5.jpg,2.544
ishowspeed,train,m,6.0,black,4,2,2,0,0.5,2.8845,5.624240982101475,0.43062802974260744,0.609,0.3045,0.609,images/roster/ishowspeed/1.jpg,2.58,images/roster/ishowspeed/2.jpg,3.189
jack-black,train,m,4.5,white,5,5,0,0,0.0,2.4516,3.6468086292567445,0.5924494071226672,1.4869999999999999,0.5369999999999999,1.4869999999999999,images/roster/jack-black/1.jpg,3.086,images/roster/jack-black/4.jpg,1.599
jacob-elordi,validation,m,9.1,white,4,3,1,0,0.25,3.8193333333333332,6.817504342494167,0.09235980366660246,0.17900000000000027,0.050000000000000266,0.17900000000000027,images/roster/jacob-elordi/1.jpg,3.922,images/roster/jacob-elordi/2.jpg,3.743
james-corden,train,m,4.0,white,5,5,0,0,0.0,2.6122,4.330873079971472,0.36989011881908934,0.8490000000000002,0.2530000000000001,0.8490000000000002,images/roster/james-corden/3.jpg,3.116,images/roster/james-corden/4.jpg,2.267
jason-momoa,train,m,9.0,mixed,5,5,0,0,0.0,3.787,6.768587775522092,0.1738907703128604,0.44499999999999984,0.08899999999999997,0.44499999999999984,images/roster/jason-momoa/2.jpg,3.508,images/roster/jason-momoa/3.jpg,3.953
jeff-bezos,holdout,m,3.0,white,2,2,0,0,0.0,2.9545000000000003,5.78835112412109,0.47871129086329267,0.677,0.3385,0.677,images/roster/jeff-bezos/4.jpg,3.293,images/roster/jeff-bezos/5.jpg,2.616
jenelle-evans,train,f,5.5,white,3,2,1,0,0.3333333333333333,3.149,6.084004766945553,0.2107178207935912,0.29800000000000004,0.14900000000000002,0.29800000000000004,images/roster/jenelle-evans/1.jpg,3.298,images/roster/jenelle-evans/3.jpg,3.0
jennifer-haben,train,f,8.9,white,4,2,2,0,0.5,3.3425000000000002,6.2752630118619335,0.6866006845321374,0.9709999999999996,0.4854999999999998,0.9709999999999996,images/roster/jennifer-haben/2.jpg,2.857,images/roster/jennifer-haben/8.jpg,3.828
jennifer-lawrence,holdout,f,8.1,white,5,5,0,0,0.0,3.3851999999999998,6.3203489901864485,0.3042954156736509,0.8069999999999999,0.15799999999999992,0.8069999999999999,images/roster/jennifer-lawrence/5.jpg,2.98,images/roster/jennifer-lawrence/7.jpg,3.787
jensen-huang,holdout,m,5.3,east-asian,4,2,2,0,0.5,2.8535000000000004,5.5365591503417395,0.3641599923110721,0.5150000000000001,0.25750000000000006,0.5150000000000001,images/roster/jensen-huang/3.jpg,2.596,images/roster/jensen-huang/4.jpg,3.111
jo-brand,holdout,f,3.0,white,5,5,0,0,0.0,3.3752000000000004,6.309800933062971,0.5344550495598299,1.3380000000000005,0.30500000000000016,1.3380000000000005,images/roster/jo-brand/4.jpg,2.889,images/roster/jo-brand/1.jpg,4.227
joe-exotic,train,m,3.0,white,2,2,0,0,0.0,2.4635,3.6958103288209645,0.3471894295625949,0.4910000000000001,0.24550000000000005,0.4910000000000001,images/roster/joe-exotic/1.jpg,2.709,images/roster/joe-exotic/3.jpg,2.218
joe-rogan,train,m,5.5,white,4,3,1,0,0.25,3.004,5.87543261149162,0.15539305003763845,0.2909999999999999,0.05099999999999971,0.2909999999999999,images/roster/joe-rogan/4.jpg,2.827,images/roster/joe-rogan/7.jpg,3.118
john-mulaney,validation,m,6.8,white,4,2,2,0,0.5,3.855,6.887821868374165,0.015556349186104216,0.02200000000000024,0.01100000000000012,0.02200000000000024,images/roster/john-mulaney/1.jpg,3.866,images/roster/john-mulaney/2.jpg,3.844
johnny-depp,holdout,m,9.0,white,5,4,1,0,0.2,3.8222500000000004,6.822064850409687,0.3443848380324935,0.7880000000000003,0.2695000000000001,0.7880000000000003,images/roster/johnny-depp/3.jpg,3.431,images/roster/johnny-depp/7.jpg,4.219
jon-gosselin,train,m,4.5,mixed,4,4,0,0,0.0,2.58975,4.23754424063786,0.15605634666149687,0.37399999999999967,0.11249999999999982,0.37399999999999967,images/roster/jon-gosselin/2.jpg,2.776,images/roster/jon-gosselin/3.jpg,2.402
jonah-hill,train,m,5.5,white,5,5,0,0,0.0,3.3226,6.257167159977266,0.2927179529854634,0.7719999999999998,0.11699999999999999,0.7719999999999998,images/roster/jonah-hill/4.jpg,3.804,images/roster/jonah-hill/7.jpg,3.032
jordan-peterson,holdout,m,6.2,white,4,2,2,0,0.5,2.939,5.749666067111034,0.6165971131946694,0.8719999999999999,0.43599999999999994,0.8719999999999999,images/roster/jordan-peterson/1.jpg,3.375,images/roster/jordan-peterson/4.jpg,2.503
jungkook,train,m,8.0,east-asian,5,4,1,0,0.2,3.7645,6.73674227999965,0.3611698584692064,0.7359999999999998,0.22299999999999986,0.7359999999999998,images/roster/jungkook/1.jpg,4.06,images/roster/jungkook/5.jpg,3.324
justin-bieber,train,m,7.5,white,5,4,1,0,0.2,3.67575,6.617959945769595,0.43469788359273176,0.9520000000000004,0.2985000000000002,0.9520000000000004,images/roster/justin-bieber/3.jpg,3.147,images/roster/justin-bieber/5.jpg,4.099
kai-cenat,train,m,6.3,black,2,1,1,0,0.5,2.648,4.529109315203395,,,,,,,,
kanye-west,holdout,m,6.0,black,4,2,2,0,0.5,3.1125,6.034727078486526,0.6767011895955262,0.9570000000000003,0.47850000000000015,0.9570000000000003,images/roster/kanye-west/3.jpg,3.591,images/roster/kanye-west/4.jpg,2.634
kato-kaelin,train,m,5.0,white,5,4,1,0,0.2,2.50875,3.8969268031709934,0.3026288981574627,0.7409999999999997,0.1884999999999999,0.7409999999999997,images/roster/kato-kaelin/1.jpg,2.881,images/roster/kato-kaelin/5.jpg,2.14
keanu-reeves,train,m,8.5,mixed,4,4,0,0,0.0,3.7882499999999997,6.770376208876729,0.562937755588188,1.2649999999999997,0.3059999999999998,1.2649999999999997,images/roster/keanu-reeves/1.jpg,4.302,images/roster/keanu-reeves/5.jpg,3.037
keira-metz,train,f,8.0,white,5,1,4,0,0.8,3.904,6.978740405878726,,,,,,,,
kendrick-lamar,validation,m,6.1,black,4,2,2,0,0.5,1.771,1.9855506446705178,0.164048773235279,0.23199999999999998,0.11599999999999999,0.23199999999999998,images/roster/kendrick-lamar/3.jpg,1.655,images/roster/kendrick-lamar/4.jpg,1.887
kevin-federline,holdout,m,5.5,white,3,3,0,0,0.0,3.025,5.9109899278508875,0.1936207633493887,0.383,0.14200000000000035,0.383,images/roster/kevin-federline/3.jpg,3.2,images/roster/kevin-federline/5.jpg,2.817
kevin-hart,train,m,5.6,black,4,0,4,0,1.0,,,,,,,,,,
kim-kardashian,train,f,8.5,white,5,4,1,0,0.2,3.48125,6.409864553786628,0.4379896307752805,1.0059999999999998,0.14050000000000007,1.0059999999999998,images/roster/kim-kardashian/2.jpg,2.849,images/roster/kim-kardashian/5.jpg,3.855
ksi,train,m,6.8,black,2,2,0,0,0.0,2.7880000000000003,5.259014447563942,0.2687005768508883,0.38000000000000034,0.19000000000000017,0.38000000000000034,images/roster/ksi/1.jpg,2.978,images/roster/ksi/2.jpg,2.598
kumail-nanjiani,holdout,m,6.4,south-asian,4,3,1,0,0.25,3.5533333333333332,6.47635316607464,0.4562459132237057,0.8799999999999999,0.23100000000000032,0.8799999999999999,images/roster/kumail-nanjiani/1.jpg,3.183,images/roster/kumail-nanjiani/4.jpg,4.063
kylie-jenner,validation,f,7.5,white,5,5,0,0,0.0,3.5768,6.50285776616415,0.6426637534512116,1.5249999999999995,0.21399999999999952,1.5249999999999995,images/roster/kylie-jenner/5.jpg,2.551,images/roster/kylie-jenner/6.jpg,4.076
lana-condor,validation,f,8.0,east-asian,5,5,0,0,0.0,3.2192,6.159225533458843,0.5009797401093182,1.351,0.2829999999999999,1.351,images/roster/lana-condor/7.jpg,3.837,images/roster/lana-condor/9.jpg,2.486
lebron-james,validation,m,7.0,black,5,3,2,0,0.4,2.735,4.960551347029405,0.6170599646711818,1.2030000000000003,0.363,1.2030000000000003,images/roster/lebron-james/1.jpg,3.257,images/roster/lebron-james/5.jpg,2.054
lena-dunham,validation,f,3.5,white,5,5,0,0,0.0,3.4874,6.414900058991856,0.5284797063274993,1.0999999999999996,0.484,1.0999999999999996,images/roster/lena-dunham/3.jpg,2.91,images/roster/lena-dunham/6.jpg,4.01
leonardo-dicaprio,train,m,9.3,white,4,4,0,0,0.0,3.0115,5.888440981123886,0.4694120435892827,0.992,0.06500000000000017,0.992,images/roster/leonardo-dicaprio/1.jpg,2.719,images/roster/leonardo-dicaprio/2.jpg,3.711
lewis-capaldi,validation,m,4.8,white,4,2,2,0,0.5,3.6865,6.629646318108307,0.08131727983645312,0.11500000000000021,0.05750000000000011,0.11500000000000021,images/roster/lewis-capaldi/1.jpg,3.629,images/roster/lewis-capaldi/2.jpg,3.744
lilypichu,train,f,7.0,east-asian,3,2,1,0,0.3333333333333333,3.5,6.425253889591913,0.6194255403194159,0.8760000000000003,0.43800000000000017,0.8760000000000003,images/roster/lilypichu/1.jpg,3.062,images/roster/lilypichu/3.jpg,3.938
lionel-messi,train,m,6.5,latino,5,4,1,0,0.2,3.1935000000000002,6.132114772845363,0.39321961632994173,0.8809999999999998,0.13600000000000012,0.8809999999999998,images/roster/lionel-messi/4.jpg,2.878,images/roster/lionel-messi/5.jpg,3.759
lisa-blackpink,validation,f,8.9,east-asian,3,2,1,0,0.3333333333333333,3.6995,6.646805423394849,0.06293250352560302,0.08900000000000041,0.044500000000000206,0.08900000000000041,images/roster/lisa-blackpink/1.jpg,3.655,images/roster/lisa-blackpink/2.jpg,3.744
lizzo,train,f,5.0,black,4,3,1,0,0.25,2.6616666666666666,4.597517304071485,0.09505963040814619,0.18000000000000016,0.03699999999999992,0.18000000000000016,images/roster/lizzo/1.jpg,2.554,images/roster/lizzo/3.jpg,2.734
logan-paul,train,m,7.3,white,4,2,2,0,0.5,3.049,5.944864605234969,0.268700576850888,0.3799999999999999,0.18999999999999995,0.3799999999999999,images/roster/logan-paul/1.jpg,2.859,images/roster/logan-paul/2.jpg,3.239
mama-june,validation,f,3.5,white,5,5,0,0,0.0,3.2594000000000003,6.200723755961897,0.4880822676557714,1.2590000000000003,0.351,1.2590000000000003,images/roster/mama-june/2.jpg,2.534,images/roster/mama-june/3.jpg,3.793
margot-robbie,train,f,9.5,white,5,5,0,0,0.0,3.3218000000000005,6.256445137538209,0.2500563936395148,0.617,0.12700000000000022,0.617,images/roster/margot-robbie/4.jpg,3.101,images/roster/margot-robbie/5.jpg,3.718
marina-laswick,train,f,8.9,white,3,2,1,0,0.3333333333333333,4.0715,7.5107190722039245,0.224152849636136,0.3170000000000006,0.1585000000000003,0.3170000000000006,images/roster/marina-laswick/4.jpg,4.23,images/roster/marina-laswick/5.jpg,3.913
mark-zuckerberg,train,m,3.5,white,5,5,0,0,0.0,3.4768,6.406228306562998,0.13759796510123254,0.3420000000000001,0.1379999999999999,0.3420000000000001,images/roster/mark-zuckerberg/3.jpg,3.295,images/roster/mark-zuckerberg/6.jpg,3.637
martin-shkreli,train,m,4.0,white,2,2,0,0,0.0,3.2925,6.230137200560505,0.4348706704297269,0.6150000000000002,0.3075000000000001,0.6150000000000002,images/roster/martin-shkreli/4.jpg,3.6,images/roster/martin-shkreli/5.jpg,2.985
