image_id,filename,attractiveness_mean,bmi,identity_group,body_id,head_id,variant,label_sex,demographic_code,label_kind,image_sha256,width,height
T100,T100.jpg,7.42,17.28,T100,T100,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3b6e601167ad63768f2fa25b2abc5a6b16b9481d9d321326c9044f3eba2234a9,961,1783
T090,T090.jpg,7.47,17.56,T090,T090,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,48633c95e5f414490e48df5cca984bb2e574bc0adbb662de708fe6f8e04bf75d,961,1783
T080,T080.jpg,7.55,17.77,T080,T080,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6c25ab9f44d3649236503550be237dff5472ebaed1cc3fb26330844e046494ee,961,1783
T070,T070.jpg,7.94,18.01,T070,T070,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,cdb58a76dc8d4defac0dcf338c02b563bc309bdb720989c737f4ad9a6e64dc4b,961,1783
T060,T060.jpg,8.03,18.26,T060,T060,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6253ab703ce42750d89a3ce35c740fa9c719f736252f01186d50b4ea2a8ccf45,961,1783
T050,T050.jpg,7.97,18.50,T050,T050,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,62af5c16c8e2fc0b3368eac17262a1eef9cfad5993d7c0b2eb81b65308eea057,961,1783
T040,T040.jpg,8.29,18.77,T040,T040,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,5ac0432ba7fac4d94e3b524b52974f60ba1bae3bd32d9d8cab504efb6166b4b6,961,1783
T030,T030.jpg,8.18,19.10,T030,T030,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3c3d0b50b6b81e8a2cae07961b98ea9f079b8310c047b5bfd76b5b7de3186743,961,1783
T020,T020.jpg,8.23,19.30,T020,T020,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,3a9e890b5cf3bfb373028cff33a26eb78cc35fe787ad466a623a015f72506028,961,1783
T010,T010.jpg,8.11,19.61,T010,T010,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,52d3f11d364441f5e57d23f55b5ae6f1c24e8e0289d8a3513eaaf238a1c90d52,961,1783
N000,N000.jpg,8.19,19.79,N000,N000,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,0e8f35cb9665640b1b8fbb6f584a58584832bb9b3fc8ec584d47ef0de3c12bd5,961,1783
H010,H010.jpg,7.89,21.55,H010,H010,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,7afd888bfc55b1879b787776e80dc49a7e6da4266404318e55aa9f1dcae86e03,961,1783
H020,H020.jpg,7.24,23.35,H020,H020,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,0f99717b7a9a9a00d50d9bc74086a71767b691cc8dbb41c599649b1a66d59fd1,961,1783
H030,H030.jpg,6.57,25.37,H030,H030,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,50cc8926bbae834468473c8c1f8c6a28b7d93e210bb25820af0b1a6d05a36703,961,1783
H040,H040.jpg,5.93,27.37,H040,H040,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fb4449f89a672d7ac658311e97b97fc1f8581da245628b1ba5281b477e9dcdc1,961,1783
H050,H050.jpg,5.50,29.57,H050,H050,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,da923a445d40ce604cb24827e4dc7cdd27fa635deabf423d463db12eaa177806,961,1783
H060,H060.jpg,4.86,31.84,H060,H060,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,6dcd41a4ab3ac70efbd6590d292fd9aba501d7ed9820129b48689a4200b46803,961,1783
H070,H070.jpg,4.53,34.13,H070,H070,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,fc1e84ca7c2b2cd2e44437173b9a22680c6dc6ea51591f1aa411e7a1be569450,961,1783
H080,H080.jpg,4.29,36.58,H080,H080,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,947ed9b80b6221ac1d84aac54ca70ceb780e39f934e7686b40e1c26c6162b45b,961,1783
H090,H090.jpg,3.72,39.10,H090,H090,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,d1a877343d29107b4c2c71399d8335576f05135f23e62862c2b30cabe2c4d549,961,1783
H100,H100.jpg,3.46,41.76,H100,H100,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,466323de478894f722dcffc19ad4ea257246903164d0bc2df2aa48131806f4c5,961,1783
H110,H110.jpg,3.22,44.55,H110,H110,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,912e62f34dda5e143e3603e332e77c7cb6038dcba66d12efa274d1a0001a5e18,961,1783
H120,H120.jpg,2.97,47.37,H120,H120,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,aaa5dc3f64691ddc84500697ae6a14b3d57053078e230b550340c550fb76eb04,961,1783
H130,H130.jpg,2.93,50.23,H130,H130,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,87521bc6821e96f3d17914f073a548c9d1e170a3ca1fb99d71981a5436e1a782,961,1783
H140,H140.jpg,2.64,53.21,H140,H140,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b531b54115377b0df48d35d4707f4702bebc96186dd323cdae451e0c11cf5cd2,961,1783
H150,H150.jpg,2.51,56.26,H150,H150,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,cf68220b2b8ee35872ce0080db14a71da543473829bb4ae0929896985fe28a93,961,1783
H160,H160.jpg,2.30,59.31,H160,H160,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,9bbfa2eee3d89dcfba87828868471431a32dcc9ba4af07f1692ab59e7b610a4d,961,1783
H170,H170.jpg,2.08,62.64,H170,H170,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,b5d07b747f9eada1cb10fda6fa23d18d0a4302118c52526763e66165ff72dbf1,961,1783
H180,H180.jpg,2.08,66.04,H180,H180,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,1a7f10bee91e9e80f075750b1282d931dcc63fc6b320f7a7d3176e49287bd461,961,1783
H190,H190.jpg,1.76,69.56,H190,H190,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,d51e2b4ddf3c301077da04e5e4f6a4bb0b58530b5bcff1427f13779b1980ecd4,961,1783
H200,H200.jpg,1.80,73.30,H200,H200,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,7cd201d597a1a76d185d9848ceff4d2e41019066558601170786e06244b19fca,961,1783
H210,H210.jpg,1.68,76.95,H210,H210,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,90a76e34fc67c20620d9e28a53037e6ab5ccba2c499c7ab0d5183802eeef7ca1,961,1783
H220,H220.jpg,1.55,80.98,H220,H220,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,a5a10d9b4c7d6be6180b5e6312cc6ae967e33757679d88c2071a6b9d455f506e,961,1783
H230,H230.jpg,1.48,85.49,H230,H230,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,372560b4e33d049f88869545ad117a26ddc457dc1184087ad3f211072d9b092f,961,1783
H240,H240.jpg,1.51,89.89,H240,H240,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,c4f1d0aac4489afdcc3b998510d5fa4bde48779fe636385c87ddf74ceb9d1760,961,1783
H250,H250.jpg,1.37,94.40,H250,H250,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,eb88153400e18869335c4a19cb8cb097929aff9125654086aa95f6be490b2b1d,961,1783
H260,H260.jpg,1.27,99.27,H260,H260,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,ee27b45c30697a218c7bcaedc76ee50c2fd71cf2d2e830d585602c396250698f,961,1783
H270,H270.jpg,1.34,104.40,H270,H270,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,62b6b6f8332efea19c0f373b2ba9141b93540b8d87a0b39e6aa37c681fefb979,961,1783
H280,H280.jpg,1.24,109.45,H280,H280,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,c136bba9498786691c0e20c898b44b546f37309b25775c37e104aaf2424bbe14,961,1783
H290,H290.jpg,1.26,114.82,H290,H290,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,f112299f610aa9416a25382c2220abe0577323c1d4eda23f7fc7d80bbc57849e,961,1783
H300,H300.jpg,1.17,120.29,H300,H300,,synthetic_body_only,f,synthetic,body_specific_valence_attractiveness_beauty_harmony,659a7715fb0cf0d4a1448535643247a5bd770a3216075ce9d41bbcbab56c71f5,961,1783
